net,length_um
net854,93.86µm
clknet_1_0__leaf_net299,93.51µm
net553,92.94µm
net345,92.82µm
net531,92.06µm
net9,91.85µm
net431,91.58µm
net175,91.08µm
net487,90.72µm
net994,90.7µm
net680,90.67µm
net258,90.48µm
net840,90.48µm
net900,90.41µm
clknet_1_0__leaf_net971,89.8µm
clknet_1_1__leaf_net939,89.46µm
net977,88.92µm
net830,88.55µm
net538,88.52µm
net426,88.5µm
clknet_1_0__leaf_net152,88.09µm
clknet_1_1__leaf_net925,87.56µm
net228,87.42µm
net863,87.4µm
net915,87.06µm
net856,86.56µm
net513,86.5µm
net954,86.38µm
net808,86.065µm
net71,86.04µm
net451,85.44µm
net853,84.92µm
net12,84.075µm
net170,83.995µm
clknet_1_0__leaf_net935,83.92µm
net387,83.62µm
net362,83.47µm
net50,83.38µm
net860,83.24µm
clknet_1_0__leaf_net781,82.875µm
clknet_1_1__leaf_net385,82.495µm
net40,82.38µm
net115,81.98µm
net264,81.92µm
net44,81.9µm
net851,81.51µm
net218,81.36µm
net918,81.29µm
net891,81.24µm
net367,81.12µm
net435,80.96µm
net1049,80.91µm
net711,80.74µm
clknet_1_1__leaf_net781,79.69µm
net222,79.52µm
net37,79.46µm
clknet_1_0__leaf_net780,79.34µm
net752,79.255µm
net167,79.005µm
net732,78.99µm
net446,78.885µm
net844,78.86µm
net848,78.79µm
net112,78.475µm
net101,78.46µm
net1047,77.92µm
net753,77.26µm
net957,77.24µm
clknet_1_0__leaf_net378,77.165µm
net774,76.94µm
net870,76.84µm
net86,76.76µm
net1014,76.565µm
clknet_0_net956,76.49µm
net1008,76.335µm
net749,76.14µm
net1033,75.555µm
net821,75.46µm
net125,75.4µm
clknet_1_0__leaf_net821,75.12µm
net1016,74.93µm
net692,74.85µm
net818,74.32µm
net575,73.78µm
clknet_1_1__leaf_net935,73.69µm
net305,73.46µm
net974,73.45µm
net224,73.36µm
net829,73.26µm
clknet_1_1__leaf_net152,73.24µm
net208,73.01µm
net334,72.87µm
net10,72.06µm
net890,72µm
net102,71.925µm
net951,71.74µm
net672,71.71µm
net322,71.68µm
net839,71.61µm
net22,71.58µm
net360,71.4µm
clknet_1_1__leaf_net711,71.38µm
net480,70.7µm
clknet_1_0__leaf_net940,70.515µm
net746,70.26µm
net299,70.06µm
net939,70µm
net780,69.34µm
net132,69.205µm
clknet_1_1__leaf_net378,68.8µm
net702,68.46µm
net288,68.435µm
clknet_1_1__leaf_net476,68.12µm
net894,67.86µm
net834,67.8µm
net510,67.78µm
net557,67.345µm
net148,67.34µm
net380,66.95µm
net693,66.66µm
net369,66.54µm
net14,66.52µm
clknet_1_0__leaf_net570,65.93µm
net176,65.75µm
net708,65.67µm
net21,65.57µm
net308,65.385µm
net594,64.98µm
clknet_1_1__leaf_net570,64.57µm
clknet_1_0__leaf_net485,64.18µm
net859,64.16µm
net888,64.12µm
net925,64µm
net462,63.98µm
net947,63.7µm
clknet_1_0__leaf_net470,63.67µm
net963,63.47µm
net291,63.43µm
net398,63.22µm
clknet_0_net122,63.18µm
net205,63.145µm
net56,63.1µm
net919,62.58µm
net838,62.52µm
net179,62.16µm
net135,62.08µm
net98,61.98µm
net419,61.94µm
net944,61.8µm
net139,61.78µm
net1073,61.56µm
net319,60.95µm
clknet_1_0__leaf_net385,60.495µm
net192,60.44µm
net386,60.38µm
net376,60.24µm
clknet_1_1__leaf_net940,59.88µm
clknet_1_0__leaf_net957,59.82µm
net656,59.76µm
net16,59.73µm
net948,59.43µm
net353,59.32µm
net786,59.1µm
net504,59.02µm
net878,59.02µm
net807,58.96µm
clknet_1_0__leaf_net939,58.71µm
net30,58.7µm
net747,58.51µm
net262,58.5µm
net930,58.5µm
net89,58.32µm
net346,57.32µm
net820,57.22µm
net1072,57.19µm
clknet_1_0__leaf_net476,57.18µm
net717,57.06µm
net593,56.94µm
net679,56.8µm
net659,56.38µm
net896,56.35µm
clknet_0_net932,56.16µm
clknet_0_net711,56.04µm
net779,55.82µm
net666,55.8µm
net739,55.68µm
clknet_1_0__leaf_net501,55.4µm
clknet_1_0__leaf_net943,55.34µm
clknet_1_0__leaf_net623,55.25µm
clknet_0_net387,55.24µm
clknet_1_1__leaf_net616,55.02µm
net778,54.34µm
clknet_0_net742,54.34µm
net847,54.23µm
net3,54.2µm
net72,54.17µm
net276,54.08µm
net45,54.04µm
net336,53.92µm
net869,53.86µm
net437,53.665µm
net137,53.66µm
clknet_1_1__leaf_net470,53.595µm
clknet_1_1__leaf_net821,53.41µm
net850,53.3µm
net180,52.8µm
clknet_1_1__leaf_net782,52.7µm
clknet_1_1__leaf_net842,52.5µm
net432,52.31µm
net781,52.06µm
net913,52.04µm
clknet_1_1__leaf_net780,52.04µm
net892,51.8µm
net845,51.61µm
clknet_1_0__leaf_net498,51.58µm
net907,51.48µm
clknet_1_0__leaf_net803,51.3µm
net318,51.25µm
net529,51.24µm
net922,51.18µm
net116,51.14µm
net52,51.07µm
clknet_1_1__leaf_net765,51.01µm
net272,50.97µm
clknet_1_1__leaf_net498,50.8µm
net788,50.62µm
