net,length_um
clknet_0_clk,767.92µm
net826,499.065µm
net738,482.97µm
net748,481.64µm
net755,466.98µm
net821,411.965µm
net241,401.605µm
net725,399.57µm
net114,391.775µm
net648,390.44µm
net731,381.355µm
net767,375.31µm
net721,373.205µm
net707,365.17µm
net706,345.51µm
net742,340.85µm
net817,318.93µm
net758,289.65µm
net324,287.355µm
net393,286.27µm
net193,283.075µm
net719,274.41µm
net749,267.88µm
net605,267.73µm
net196,267.055µm
net301,266.185µm
net216,263.675µm
net700,258.7µm
net862,258.22µm
net820,257.305µm
net291,251.715µm
net4,251.2µm
net812,249.59µm
net778,246.21µm
net747,240.76µm
net424,238.765µm
net183,238.08µm
clk,237.48µm
net702,237.26µm
net93,235.715µm
net792,234.64µm
net737,228.89µm
net2,227.115µm
net871,226.63µm
net201,222µm
net317,215.2µm
net352,212.885µm
net316,209.73µm
net243,209.48µm
net319,209.465µm
net113,206.02µm
net716,204.185µm
net720,201.06µm
clknet_4_6_0_clk,200.78µm
net44,199.61µm
net715,199.16µm
net219,192.26µm
net874,192.06µm
net99,190.49µm
net80,187.12µm
net833,183.55µm
net39,180.76µm
clknet_4_11_0_clk,178.61µm
net756,177.605µm
net136,177.56µm
net18,176.37µm
net453,176.14µm
clknet_4_10_0_clk,175.78µm
net782,175.43µm
net336,173µm
net294,171.255µm
net287,170.82µm
net845,170.8µm
net769,170.79µm
net20,170.36µm
net522,169.285µm
net119,167.81µm
net805,167.315µm
net284,166.785µm
net436,162.52µm
net722,162.21µm
net105,162µm
net298,161.445µm
net828,160.62µm
net753,160.38µm
net292,160.34µm
net761,159.54µm
net312,158.66µm
net704,157.44µm
net729,156.075µm
net435,155.88µm
net368,155.27µm
net285,154.83µm
clknet_4_2_0_clk,154.68µm
net34,152.9µm
clknet_4_5_0_clk,151.7µm
net620,150.7µm
net220,148.03µm
net752,147.86µm
net152,147.61µm
net306,146.83µm
clknet_4_8_0_clk,144.84µm
net59,144.26µm
net296,144.24µm
net484,141.72µm
net703,141.63µm
net8,141.4µm
net0,139.44µm
net256,138.465µm
clknet_4_4_0_clk,138.28µm
net181,138.1µm
net49,137.405µm
net801,136.18µm
net777,134.26µm
net718,133.76µm
net340,133.6µm
net528,133.405µm
net387,133.36µm
net877,133.22µm
net198,132.125µm
net263,130.54µm
net773,130.08µm
net766,129.44µm
net320,128.05µm
net813,127.24µm
net872,127.08µm
net278,126.98µm
net308,126.98µm
net64,126.325µm
net838,126µm
clknet_4_7_0_clk,125.64µm
net708,125.62µm
clknet_4_0_0_clk,124.82µm
net46,124.56µm
net760,122.6µm
clknet_4_9_0_clk,120.32µm
net646,119.68µm
net245,118.015µm
net15,117.92µm
clknet_4_15_0_clk,117.78µm
net299,117.55µm
net823,117.365µm
clknet_4_3_0_clk,115.63µm
net530,115.48µm
net262,115.075µm
net254,114.8µm
net208,114.46µm
clknet_4_13_0_clk,113.3µm
net300,112.08µm
net798,112.04µm
net785,111.98µm
clknet_1_1__leaf_net457,111.48µm
net215,111.46µm
net123,110.82µm
net382,110.09µm
net464,109.5µm
net244,109.34µm
net577,108.18µm
net875,106.98µm
net318,106.285µm
clknet_4_1_0_clk,106.17µm
