┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins    ┃ Disconnected ┃ Signal Pins      ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ netlist_1      │ VPWR          │              │ clk              │ out29        │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────┤
│ c737           │ c737/VGND     │              │ c737/D           │ c737/Q_N     │
│                │ c737/VNB      │              │ c737/RESET_B     │              │
│                │ c737/VPB      │              │ c737/SCD         │              │
│                │ c737/VPWR     │              │ c737/SCE         │              │
│                │               │              │ c737/SET_B       │              │
│                │               │              │ c737/Q           │              │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────┤
│ merge796       │ merge796/VGND │              │ merge796/SET_B   │ merge796/D   │
│                │ merge796/VNB  │              │ merge796/Q       │              │
│                │ merge796/VPB  │              │                  │              │
│                │ merge796/VPWR │              │                  │              │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────┤
│ merge803       │ merge803/VGND │              │ merge803/RESET_B │ merge803/D   │
│                │ merge803/VNB  │              │ merge803/Q       │              │
│                │ merge803/VPB  │              │                  │              │
│                │ merge803/VPWR │              │                  │              │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────┤
│ s838           │ s838/VGND     │              │ s838/D           │ s838/Q_N     │
│                │ s838/VNB      │              │ s838/Q           │              │
│                │ s838/VPB      │              │                  │              │
│                │ s838/VPWR     │              │                  │              │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────┤
│ s844           │ s844/VGND     │              │ s844/D           │ s844/Q_N     │
│                │ s844/VNB      │              │ s844/Q           │              │
│                │ s844/VPB      │              │                  │              │
│                │ s844/VPWR     │              │                  │              │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────┤
│ s861           │ s861/VGND     │              │ s861/D           │ s861/Q_N     │
│                │ s861/VNB      │              │ s861/Q           │              │
│                │ s861/VPB      │              │                  │              │
│                │ s861/VPWR     │              │                  │              │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────┤
│ s869           │ s869/VGND     │              │ s869/D           │ s869/Q_N     │
│                │ s869/VNB      │              │ s869/Q           │              │
│                │ s869/VPB      │              │                  │              │
│                │ s869/VPWR     │              │                  │              │
└────────────────┴───────────────┴──────────────┴──────────────────┴──────────────┘
