net,length_um
net912,99.18µm
clknet_4_2_0_clk,98.58µm
net197,98.545µm
net880,97.305µm
net398,97.245µm
clknet_4_7_0_clk,97.2µm
net12,97µm
net424,96.92µm
net20,96.24µm
clknet_4_9_0_clk,95.92µm
net427,95.82µm
net572,95.555µm
net136,94.48µm
net789,93.545µm
net416,93.29µm
net16,92.93µm
net814,92.1µm
net87,91.91µm
net256,90.91µm
net408,90.905µm
net845,90.84µm
net829,90.815µm
net63,89.1µm
net245,88.13µm
net681,87.49µm
net470,86.41µm
net178,86.38µm
net95,86.35µm
net672,85.96µm
net414,85.68µm
net190,85.34µm
net320,85.33µm
net200,85.16µm
net67,84.84µm
net513,84.72µm
net674,84.46µm
net27,84.3µm
net817,84.04µm
net724,83.26µm
net257,82.58µm
net143,82.26µm
net926,82.16µm
net214,81.78µm
net183,81.495µm
net188,81.255µm
net246,80.84µm
net584,80.58µm
net222,80.48µm
net321,80.28µm
net923,79.88µm
net562,79.44µm
net301,79.28µm
net250,79.06µm
net722,78.94µm
net468,78.795µm
net271,78.745µm
net550,77.4µm
net393,77.315µm
clknet_0_net681,77.24µm
net221,77.18µm
net671,77.16µm
net670,77.06µm
net209,76.4µm
net228,75.72µm
net739,75.5µm
net483,74.86µm
net293,74.6µm
net212,74.08µm
net50,73.73µm
net447,73.58µm
net134,73.4µm
net43,73.24µm
net928,73.18µm
net121,73.06µm
net306,72.94µm
net683,72.91µm
net736,72.9µm
net458,72.89µm
net371,72.68µm
net122,72.4µm
net849,72.38µm
net840,72.1µm
net917,72.04µm
net913,71.44µm
net131,71.03µm
net130,71.02µm
net343,70.91µm
net472,70.78µm
net429,70.76µm
clknet_1_1__leaf_net702,70.5µm
net219,70.42µm
net162,70.21µm
net13,70.07µm
net296,69.1µm
net523,68.725µm
net500,68.65µm
clknet_1_1__leaf_net469,68.63µm
net129,68.465µm
net597,67.26µm
net313,67.2µm
net77,66.72µm
net676,66.66µm
net93,66.155µm
net574,66.04µm
net654,65.52µm
net490,65.42µm
net156,64.84µm
net157,64.24µm
net568,63.685µm
net294,63.195µm
net651,62.96µm
net430,62.3µm
net23,62.06µm
net31,61.86µm
net158,61.17µm
net126,60.985µm
net230,60.64µm
net139,60.56µm
clknet_1_0__leaf_net574,60.2µm
net467,59.86µm
net260,59.73µm
net38,59.42µm
net407,59.34µm
net278,59.16µm
net15,59.06µm
net44,59.04µm
net83,58.26µm
net84,58.18µm
clknet_1_0__leaf_net702,57.78µm
net14,57.34µm
net656,57.06µm
net442,56.565µm
net0,56.36µm
net428,56.22µm
net601,55.565µm
net161,55.52µm
net841,54.99µm
net159,54.96µm
net89,54.84µm
net582,54.72µm
net518,54.61µm
net624,54.48µm
net466,54.3µm
net22,54.12µm
net373,54.1µm
net369,53.7µm
net403,53.44µm
net168,53.41µm
net607,53.28µm
net744,53µm
net503,52.845µm
net292,52.26µm
net352,52.1µm
net269,52.06µm
net933,51.92µm
net586,51.88µm
net362,51.74µm
net532,51.66µm
net76,51.455µm
net138,51.44µm
net65,51.25µm
net253,51.24µm
net957,51.18µm
net521,50.585µm
net552,50.55µm
net516,50.24µm
net514,50.2µm
net525,50.06µm
clknet_1_0__leaf_net469,49.42µm
net333,49.4µm
clknet_0_net736,49.34µm
net10,49.3µm
net363,48.56µm
net481,48.52µm
net750,48.48µm
net273,48.47µm
net349,48.04µm
net298,47.8µm
clknet_1_0__leaf_net737,47.51µm
net41,47.38µm
net542,47.12µm
net386,47.1µm
net177,47.08µm
net85,46.81µm
net936,46.68µm
net25,46.64µm
net329,46.37µm
net404,46.365µm
net520,45.92µm
net193,45.615µm
net865,45.605µm
net388,45.58µm
net7,45.48µm
net117,44.86µm
net194,44.685µm
net693,44.5µm
net557,44.445µm
net56,43.9µm
net501,43.845µm
net547,43.72µm
clknet_1_0__leaf_net681,43.3µm
net383,43.22µm
net374,43.12µm
net678,43.06µm
net689,43.04µm
net606,42.485µm
net639,42.26µm
net543,42.04µm
clknet_0_net682,41.9µm
net154,41.76µm
net45,41.51µm
net469,41.44µm
net94,41.08µm
net749,41.06µm
net166,40.83µm
net455,40.22µm
net499,40.205µm
net185,40.08µm
net643,39.915µm
net97,39.68µm
net53,39.64µm
net108,39.12µm
net127,39.06µm
net91,39.06µm
net133,39.02µm
net192,38.9µm
net119,38.72µm
net361,38.48µm
net762,37.855µm
net727,37.58µm
net609,37.48µm
net526,37.4µm
net571,37.4µm
net400,37.305µm
net653,37.02µm
net187,36.96µm
net307,36.92µm
net367,36.72µm
clknet_1_1__leaf_net736,36.44µm
net741,36.24µm
net443,35.74µm
net740,35.74µm
net300,35.665µm
net512,35.38µm
net575,35.36µm
net368,34.8µm
net874,34.25µm
net434,34.22µm
net591,34.16µm
net319,34.12µm
net918,34.02µm
net541,33.54µm
clknet_0_net480,33.44µm
net950,33.44µm
net243,33.34µm
net49,32.74µm
net304,32.72µm
net464,32.72µm
net210,32.5µm
net707,32.48µm
net323,32.12µm
net52,31.92µm
clknet_1_1__leaf_net683,31.92µm
net420,31.9µm
net8,31.74µm
clknet_0_net574,31.46µm
net595,31.2µm
net563,31.04µm
net460,31µm
net279,30.8µm
net39,30.8µm
net406,30.66µm
net110,30.58µm
net667,30.4µm
net554,30.02µm
net417,29.96µm
net921,29.82µm
clknet_1_0__leaf_net592,29.76µm
net603,29.505µm
net310,29.48µm
net399,29.385µm
net599,29.24µm
net421,29.2µm
net254,29.03µm
net650,28.96µm
clknet_0_net719,28.96µm
net123,28.89µm
net405,28.825µm
clknet_0_net493,28.06µm
net236,27.94µm
clknet_0_net737,27.86µm
clknet_1_1__leaf_net493,27.84µm
net431,27.74µm
net299,27.52µm
net312,27.32µm
net494,27µm
net618,27µm
net614,26.98µm
net842,26.52µm
net848,26.36µm
net488,26.3µm
net951,26.06µm
net26,25.97µm
net28,25.935µm
net59,25.84µm
net456,25.69µm
net664,25.48µm
clknet_1_0__leaf_net683,25.4µm
net508,25.34µm
net280,25.22µm
net534,25.16µm
net465,25.12µm
net437,24.605µm
net634,24.46µm
net181,24.37µm
net57,24.3µm
net714,24.3µm
net379,24.28µm
net861,24.26µm
net382,24.14µm
net685,23.99µm
net642,23.75µm
net412,23.68µm
net743,23.61µm
net588,23.58µm
net511,23.32µm
net167,23.22µm
net249,23.04µm
net931,23.01µm
net370,23µm
net507,22.94µm
net336,22.66µm
net519,22.26µm
net128,22.2µm
net553,22.12µm
clknet_0_net396,22.12µm
net480,22.04µm
net659,21.74µm
net596,21.66µm
net29,21.54µm
clknet_1_0__leaf_net462,21.5µm
net33,21.345µm
net152,21.32µm
net529,21.24µm
net146,21.2µm
clknet_0_net594,21.12µm
net545,21.09µm
net687,21.09µm
net524,21.04µm
net854,20.86µm
net275,20.74µm
net265,20.68µm
net623,20.56µm
net620,20.44µm
net911,20.38µm
net286,20.3µm
net713,20.2µm
clknet_0_net462,20.18µm
net268,20.14µm
clknet_1_0__leaf_net485,19.96µm
net46,19.91µm
clknet_1_0__leaf_net493,19.84µm
net506,19.665µm
clknet_0_net701,19.54µm
clknet_1_0__leaf_net478,19.5µm
net478,19.24µm
net858,19.2µm
net355,18.98µm
net570,18.96µm
net172,18.86µm
net462,18.78µm
clknet_0_net702,18.72µm
net351,18.6µm
net708,18.5µm
net151,18.44µm
net594,18.44µm
net527,18.34µm
net711,18.14µm
net723,18.12µm
net149,18.06µm
net387,18.06µm
net538,18.06µm
net42,17.98µm
net691,17.98µm
net258,17.84µm
net410,17.84µm
clknet_0_net683,17.8µm
net252,17.46µm
clknet_0_net592,17.38µm
net247,17.34µm
net401,17.34µm
net302,17.3µm
net392,17.24µm
net492,17.22µm
net757,17.18µm
net611,17.155µm
net934,17.15µm
net732,17.07µm
clknet_0_net600,16.88µm
net662,16.76µm
net688,16.64µm
net862,16.56µm
net35,16.55µm
net702,16.38µm
net945,16.37µm
net58,16.32µm
net226,16.225µm
net365,15.78µm
net101,15.64µm
clknet_1_1__leaf_net574,15.64µm
net704,15.57µm
net148,15.56µm
net48,15.46µm
