net,length_um
clknet_0_clk,756.8µm
net776,622.93µm
net923,583.43µm
net860,562.205µm
net790,553.22µm
net824,550.395µm
net781,516.985µm
net788,509.65µm
net980,509.23µm
net822,502.42µm
net197,485.41µm
net921,480.53µm
net918,427.88µm
net900,427µm
net892,418.795µm
net864,395.995µm
net297,375.84µm
net835,370.105µm
net903,369.715µm
net887,365.915µm
net798,361.26µm
net774,347.23µm
net780,337.3µm
net841,336µm
net838,316.445µm
net796,314.3µm
net405,313.235µm
net851,309.315µm
net12,306.64µm
net811,303.07µm
net241,298.98µm
net813,293.81µm
net221,293.48µm
net234,292.35µm
net906,291.1µm
net904,290.29µm
net830,285.41µm
net183,284.48µm
net515,282.09µm
net910,281.15µm
net866,278.75µm
net216,274.01µm
net890,273.75µm
net243,273.37µm
net863,270.89µm
clk,269.27µm
net777,269.2µm
net919,267.84µm
net125,267.55µm
net832,266.84µm
net320,253.875µm
net889,253.04µm
net909,253.035µm
net403,251.12µm
net808,245.1µm
net66,239.37µm
net972,236.58µm
net912,236.32µm
net369,231.505µm
net158,230.08µm
net911,229.2µm
net916,228.67µm
net905,228.61µm
net34,222.05µm
net193,221.54µm
net977,221.4µm
net67,215.16µm
net240,214.22µm
net784,213.74µm
net845,212.82µm
net41,209.745µm
net215,209.67µm
net917,208.63µm
net913,207.045µm
net85,204.805µm
net283,204µm
net192,202.69µm
net853,202.68µm
net739,201.3µm
net697,199.72µm
net973,199.3µm
net287,195.81µm
net346,193.82µm
net550,193.07µm
net81,190.84µm
clknet_1_1__leaf_net419,190.61µm
net847,190.15µm
net769,189.05µm
net76,188.195µm
net39,188.14µm
net874,186.06µm
net850,185.22µm
net19,184.65µm
net836,184.46µm
net893,184.22µm
clknet_4_7_0_clk,183.4µm
net786,182.985µm
net4,182.74µm
net541,181.78µm
net823,181.615µm
net397,180.85µm
net226,179.075µm
net358,178.41µm
net801,178.3µm
clknet_4_4_0_clk,178.16µm
net770,178.15µm
net979,176.92µm
net352,175.945µm
net899,175.89µm
net84,175.76µm
net787,172.17µm
net97,171.6µm
clknet_1_0__leaf_net706,171.57µm
net74,170.92µm
net785,170.92µm
net878,170.8µm
net24,170.78µm
net831,170.45µm
net891,170.09µm
net833,169.52µm
net545,168.2µm
net6,166.98µm
net885,165.49µm
net897,165.44µm
clknet_4_8_0_clk,164.15µm
net513,163.85µm
net111,162.63µm
clknet_4_10_0_clk,161.54µm
net834,161.39µm
net512,160.01µm
net43,159.58µm
net232,159.12µm
net199,156.54µm
net843,156.38µm
net978,153.6µm
net104,153.36µm
net848,151.54µm
net922,151.46µm
clknet_4_5_0_clk,150.98µm
clknet_4_1_0_clk,150.72µm
net793,150.595µm
in20,150.54µm
net658,150.52µm
net547,149.8µm
net895,149.66µm
net127,148.56µm
clknet_4_12_0_clk,148.1µm
net122,147.76µm
clknet_4_0_0_clk,147µm
net298,146.995µm
net806,145.22µm
net908,143.165µm
net120,142.72µm
net126,142.615µm
net711,141µm
net523,139.68µm
net543,139.46µm
net219,138.32µm
clknet_4_3_0_clk,137.67µm
net316,136.665µm
net858,135.68µm
net907,135.55µm
clknet_4_6_0_clk,134.77µm
net224,134.055µm
net842,133.99µm
net779,133.6µm
clknet_1_0__leaf_net419,133.475µm
net946,131.59µm
net901,131.38µm
net855,131.34µm
net213,131.275µm
net623,130.51µm
net862,130.405µm
net50,130.14µm
net879,130.055µm
net75,129.815µm
net938,129.785µm
net896,129.16µm
net295,128.575µm
net802,128.48µm
net493,128.36µm
net414,128.16µm
net976,127.43µm
net284,125.02µm
clknet_4_13_0_clk,124.91µm
net118,124.34µm
net516,122.57µm
clknet_4_2_0_clk,122.2µm
clknet_4_15_0_clk,121.73µm
net16,120.86µm
clknet_1_0__leaf_net334,120.8µm
