net,length_um
clknet_0_clk,807.39µm
clknet_1_0__leaf_net310,279.58µm
clknet_4_13_0_clk,276.43µm
clknet_4_4_0_clk,254.29µm
clk,254.23µm
clknet_4_7_0_clk,249.8µm
net167,246.01µm
net129,214.72µm
net925,201.71µm
clknet_1_1__leaf_net310,194.32µm
net911,193.38µm
clknet_4_2_0_clk,191.31µm
clknet_4_12_0_clk,176.19µm
clknet_4_5_0_clk,173.3µm
clknet_4_6_0_clk,170.82µm
net234,164.385µm
clknet_4_3_0_clk,163.88µm
net4,163.78µm
clknet_4_1_0_clk,160.76µm
net446,157.46µm
net441,156.55µm
net906,152.71µm
net929,151.61µm
clknet_4_10_0_clk,148.61µm
net492,145.48µm
clknet_4_0_0_clk,144.035µm
clknet_4_15_0_clk,143.21µm
net914,138.055µm
net631,137.52µm
clknet_4_11_0_clk,137.3µm
clknet_4_8_0_clk,131.3µm
net496,128.315µm
net158,125.54µm
net759,125µm
net542,124.33µm
net908,123.6µm
clknet_1_1__leaf_net266,120.8µm
net168,120.21µm
clknet_4_9_0_clk,119.66µm
net887,118.355µm
net544,118.29µm
clknet_4_14_0_clk,117.55µm
net29,113.88µm
net637,112.745µm
net148,111.05µm
net475,110.62µm
clknet_1_0__leaf_net900,109.54µm
net33,108.54µm
net907,106.44µm
net21,103.84µm
net170,103.47µm
net50,102.75µm
net747,101.97µm
net886,101.72µm
net331,101.58µm
net608,100.935µm
clknet_1_1__leaf_net262,100.14µm
net918,100µm
clknet_1_1__leaf_net294,99.74µm
net604,99.145µm
net928,98.8µm
net571,98.76µm
net99,97.8µm
clknet_1_1__leaf_net895,97.76µm
net889,97.555µm
net357,97.21µm
net760,97.085µm
net919,94.82µm
net419,93.72µm
net579,92.605µm
net149,92.3µm
net920,90.79µm
net913,90.47µm
net22,90.29µm
net378,90.02µm
net895,89.52µm
net363,89.48µm
net57,89.32µm
net618,89.28µm
net422,88.7µm
net910,88.08µm
net748,88.02µm
net605,88µm
net580,87.795µm
net79,86.37µm
clknet_1_0__leaf_net294,85.87µm
net861,85.345µm
net132,85.22µm
net56,85.12µm
clknet_1_0__leaf_net410,85.03µm
net442,84.99µm
net916,84.24µm
net330,84.17µm
net420,83.03µm
clknet_1_0__leaf_net266,81.87µm
net353,81.51µm
net850,81.04µm
net216,80.96µm
net894,80.76µm
net924,80.7µm
net490,80.42µm
clknet_1_0__leaf_net306,80.22µm
clknet_1_0__leaf_net289,79.72µm
clknet_1_1__leaf_net114,79.28µm
net930,79.12µm
clknet_1_0__leaf_net405,78.01µm
net932,77.06µm
net86,76.4µm
clknet_1_1__leaf_net312,76µm
net166,75.43µm
net926,75.405µm
net553,75.26µm
net447,75.195µm
net341,74.425µm
