net,length_um
net839,69.56µm
net228,69.4µm
net179,69.22µm
net277,69.16µm
net293,68.95µm
net238,68.78µm
net810,68.71µm
clknet_4_14_0_clk,68.32µm
net403,68.215µm
net876,68.14µm
net89,68.08µm
net848,67.64µm
net82,67.46µm
net647,67.36µm
net818,66.98µm
net316,66.92µm
net59,66.76µm
net243,66.72µm
clknet_0_net230,66.28µm
net32,65.94µm
net516,65.87µm
clknet_1_1__leaf_net868,65.66µm
net411,65.28µm
net180,64.2µm
net239,63.98µm
net312,63.785µm
net856,63.47µm
net729,63.38µm
net250,62.85µm
net353,62.52µm
net974,62.4µm
net74,62.06µm
net3,62.02µm
clknet_1_1__leaf_net673,61.76µm
net560,61.62µm
net802,61.115µm
net808,60.79µm
net556,60.585µm
net389,60.115µm
net178,60.1µm
net511,59.92µm
net84,59.8µm
clknet_1_0__leaf_net673,59.78µm
net134,59.72µm
net424,59.58µm
net760,59.52µm
net531,58.88µm
clknet_1_0__leaf_net470,58.605µm
net712,58.25µm
net921,58.24µm
net7,58.23µm
net224,58.17µm
net382,57.72µm
net11,57.64µm
net434,57.44µm
net222,57.1µm
net928,56.6µm
net388,56.42µm
net36,56.3µm
net208,56.08µm
net885,55.55µm
net792,55.36µm
net801,55.14µm
clknet_1_1__leaf_net470,55.05µm
clknet_1_0__leaf_net431,54.74µm
net80,54.72µm
net76,54.32µm
net386,54.26µm
net326,54.14µm
net349,53.88µm
net508,53.86µm
net782,53.52µm
net778,53.38µm
net413,53.18µm
net793,53.16µm
net450,53.14µm
net731,53.06µm
net307,52.56µm
clknet_1_1__leaf_net827,52.28µm
net340,52.18µm
net768,51.8µm
net278,51.225µm
net232,51.16µm
clknet_1_0__leaf_net170,51.16µm
net455,51.12µm
net672,51.03µm
net485,51.005µm
net101,50.68µm
net761,50.58µm
net718,50.54µm
net175,50.46µm
net321,50.36µm
net715,50.34µm
net56,50.23µm
net361,50.1µm
net871,50.03µm
net44,49.86µm
net680,49.86µm
net356,49.56µm
net344,49.28µm
net28,49.18µm
net748,48.75µm
net492,48.74µm
net297,48.58µm
net512,48.465µm
