net,length_um
clknet_0_clk,738.21µm
net973,604.19µm
net951,550.695µm
net962,547.865µm
net976,534.32µm
net885,488.08µm
net954,464.6µm
net971,461.515µm
net975,458.46µm
net351,444.46µm
net837,432.39µm
net886,393.82µm
net109,373.925µm
net958,368.58µm
net2,359.13µm
net943,358.06µm
net878,334.26µm
net745,333.66µm
net972,333.53µm
net974,319.195µm
net794,319.18µm
net956,312.63µm
net905,310.85µm
net952,310.16µm
net953,309.28µm
net960,301.41µm
net895,301.09µm
net0,298.8µm
net12,294.255µm
net947,291.62µm
net859,290.45µm
net107,287.345µm
net6,284.11µm
net870,283.92µm
net936,283.39µm
net397,282.38µm
net935,279.3µm
net826,278.71µm
net949,277.33µm
clk,275.33µm
net832,273.935µm
net950,273.22µm
net113,271.92µm
net920,271.155µm
net946,270.225µm
net961,269.35µm
net945,267.125µm
net105,264.85µm
net350,262.655µm
net907,258.82µm
net829,258.72µm
net833,257.64µm
net828,247.58µm
net940,246.06µm
net373,239.21µm
net963,238.105µm
net831,237.91µm
net875,237.2µm
net25,233.47µm
net919,232.465µm
net957,231.68µm
net73,231.07µm
net366,230.11µm
net33,229.99µm
net469,228.08µm
net827,224.985µm
net484,222.36µm
net264,222.17µm
net268,222.075µm
net868,219.72µm
clknet_1_1__leaf_net900,219.21µm
net69,218.72µm
net158,216.44µm
net471,215.98µm
net544,213.69µm
net330,213.36µm
net232,212.81µm
net342,212.62µm
net813,209.44µm
net218,209µm
net915,208.71µm
net334,206.965µm
net139,203.42µm
net955,201.14µm
net967,197.04µm
net92,196.17µm
net863,191.66µm
net38,190.96µm
net781,190.8µm
net81,189.32µm
net106,188.75µm
net922,188.18µm
net228,188.14µm
clknet_4_10_0_clk,187.66µm
net479,187.63µm
clknet_4_8_0_clk,187.28µm
net968,186.85µm
net800,185.26µm
clknet_4_5_0_clk,184.955µm
net805,181.92µm
net231,180.94µm
net767,180.89µm
net70,180.68µm
net123,180.5µm
net751,180.21µm
net912,180.17µm
net722,179.53µm
clknet_1_0__leaf_net924,179.22µm
net778,178.49µm
net918,178.395µm
net87,178.355µm
net969,177.31µm
clknet_1_0__leaf_net900,176.52µm
net432,176.165µm
net203,174.065µm
net733,172.75µm
net130,172.08µm
net581,171.71µm
clknet_4_15_0_clk,170.56µm
net77,170.2µm
net147,170.145µm
net916,169.91µm
net347,169.645µm
net83,169.47µm
clknet_1_0__leaf_net558,168.05µm
net399,168.02µm
net460,167.92µm
net348,167.71µm
net777,166.96µm
clknet_4_11_0_clk,166.58µm
net928,166.25µm
net68,165.8µm
net273,165.72µm
clknet_1_1__leaf_net558,163.57µm
net934,162.66µm
net140,161.53µm
net114,161.395µm
net823,158.76µm
net849,158.46µm
net780,158.38µm
net938,157.07µm
net548,156.84µm
net899,156.52µm
net483,155.885µm
net202,155.09µm
clknet_1_1__leaf_net902,154.42µm
net19,153.96µm
net1045,153.62µm
net802,153.2µm
net925,153.05µm
net99,152.2µm
net911,151.44µm
clknet_4_4_0_clk,151.37µm
net948,150.58µm
net793,150.125µm
net86,150.07µm
net834,149.06µm
net568,148.81µm
clknet_4_12_0_clk,147.81µm
net207,146.32µm
net267,146.13µm
net888,145.81µm
net801,145.47µm
net110,145.305µm
net699,144.7µm
net933,144.535µm
net329,144.51µm
net776,143.1µm
net226,142.84µm
net876,142.2µm
net326,140.89µm
net944,140.64µm
clknet_4_9_0_clk,140.28µm
net80,140.26µm
net1046,139.55µm
net806,139.445µm
net303,139.34µm
net29,139.25µm
net7,138.125µm
net896,137.505µm
net788,137.475µm
net660,137.405µm
net438,135.07µm
net253,134.105µm
net299,134.07µm
net779,133.96µm
net108,133.68µm
net1017,133.28µm
net872,133.08µm
net881,132.78µm
net858,132.3µm
net221,131.81µm
net227,131.6µm
net551,131.39µm
net211,131.3µm
net853,127.875µm
net553,127.03µm
net970,126.1µm
net579,125.33µm
clknet_1_1__leaf_net890,125.015µm
net966,123.615µm
net446,123.44µm
net452,123µm
net811,122.22µm
net392,121.36µm
net219,120.95µm
net769,120.11µm
net163,119.94µm
net74,119.33µm
net394,119.26µm
net416,118.01µm
clknet_4_13_0_clk,117.84µm
net502,117.485µm
net1047,116.81µm
net246,116.75µm
net205,116.56µm
net45,116.1µm
net217,115.44µm
clknet_0_net900,114.54µm
net270,114.44µm
net50,113.725µm
net942,112.78µm
net374,112.3µm
net461,111.32µm
net748,111.28µm
net169,111.01µm
net866,109.12µm
net220,109.07µm
net121,108.875µm
net804,107.97µm
net729,107.81µm
net909,107.5µm
net900,107.36µm
net713,106.94µm
net395,106.2µm
net820,105.86µm
net128,105.81µm
net42,105.285µm
net363,105.08µm
net941,104.77µm
net79,104.68µm
net278,104.57µm
net448,104.5µm
net765,104.1µm
net122,103.365µm
net921,103.26µm
clknet_4_0_0_clk,102.32µm
clknet_1_0__leaf_net379,101.605µm
clknet_4_14_0_clk,101.59µm
net296,100.94µm
net902,100.92µm
net747,100.66µm
net774,100.34µm
net481,100.32µm
net923,98.94µm
net931,98.78µm
net759,98.77µm
clknet_1_1__leaf_net379,98.44µm
net766,98.4µm
net43,98.22µm
net477,98.03µm
net480,97.685µm
net476,97.66µm
clknet_1_1__leaf_net914,97.04µm
net290,97µm
clknet_4_6_0_clk,96.98µm
net391,96.155µm
net212,95.925µm
net72,95.8µm
net835,95.71µm
net865,95.7µm
net17,95.58µm
net673,94.72µm
net731,94.42µm
net154,94.41µm
net591,94.4µm
net93,94.06µm
net857,93.345µm
net440,93.19µm
net687,92.84µm
net294,92.83µm
net85,92.74µm
clknet_4_7_0_clk,92.5µm
clknet_1_0__leaf_net415,92.5µm
net964,92.02µm
net965,91.6µm
net860,91.34µm
net783,91.07µm
net11,90.9µm
net735,90.61µm
clknet_1_0__leaf_net755,90.22µm
clknet_1_0__leaf_net892,89.56µm
net343,89.42µm
net513,88.86µm
net959,88.8µm
net897,88.56µm
