net,length_um
net827,106.7µm
net201,106.26µm
clknet_1_0__leaf_net331,106.06µm
net1048,105.58µm
net669,105.52µm
net1095,105.24µm
net204,105.15µm
clknet_1_0__leaf_net798,104.865µm
net825,104.715µm
net799,104.49µm
net211,104.44µm
net6,104.385µm
net477,104.16µm
net785,103.86µm
net987,103.625µm
net147,103.34µm
net802,102.82µm
net128,102.29µm
net419,101.7µm
net717,101.48µm
net759,101.24µm
net784,101.1µm
net231,100.96µm
net845,100.71µm
net716,100.47µm
net1116,100.44µm
clknet_1_0__leaf_net483,99.57µm
clknet_1_0__leaf_net815,99.16µm
net726,99.05µm
net1057,98.94µm
net796,98.93µm
clknet_1_0__leaf_net761,98.08µm
net533,97.955µm
net10,96.88µm
net949,96.85µm
clknet_1_1__leaf_net977,96.3µm
net15,96.115µm
clknet_1_0__leaf_net706,95.175µm
net489,94.92µm
clknet_1_0__leaf_net762,94.11µm
net22,93.88µm
net735,93.46µm
net443,93.26µm
net425,92.92µm
net121,92.1µm
net137,91.84µm
net850,91.73µm
net887,91.46µm
net75,91.02µm
net753,90.85µm
net731,90.74µm
net35,90.43µm
net989,89.515µm
clknet_1_1__leaf_net743,89.18µm
net487,88.9µm
net776,88.7µm
clknet_0_net946,88.24µm
net779,87.94µm
net934,87.88µm
net764,87.13µm
net762,86.82µm
net520,86.46µm
clknet_1_1__leaf_net959,86.36µm
clknet_1_1__leaf_net779,86.3µm
net429,86.29µm
net150,86.08µm
net875,85.6µm
net1107,85.42µm
net689,85.32µm
net906,85.28µm
net892,85.16µm
net715,84.76µm
net748,84.18µm
net84,84.18µm
net77,84.17µm
net129,83.975µm
net766,83.83µm
net72,83.76µm
net554,83.46µm
net1029,83.42µm
net918,83.06µm
net893,82.92µm
clknet_1_1__leaf_net483,82.71µm
net558,82.54µm
clknet_1_0__leaf_net922,82.46µm
net30,82.22µm
net418,81.8µm
net524,81.64µm
net709,81.59µm
net713,81.56µm
net870,81.14µm
net688,80.735µm
net823,80.425µm
clknet_1_1__leaf_net705,80.08µm
clknet_4_9_0_clk,79.4µm
net860,79.15µm
clknet_1_0__leaf_net965,79µm
net131,78.16µm
net840,77.97µm
net138,77.91µm
net105,77.71µm
net990,77.52µm
net805,77.44µm
net422,77.42µm
net391,77.14µm
net772,76.98µm
net127,76.76µm
net1038,76.6µm
clknet_1_0__leaf_net245,76.4µm
net197,76.08µm
net874,75.83µm
clknet_1_1__leaf_net760,75.41µm
net877,75.22µm
net345,75.18µm
clknet_1_0__leaf_net947,75.13µm
net14,75.08µm
net542,74.94µm
net738,74.86µm
net837,74.64µm
net220,74.26µm
