Metric,Value
timing__setup__wns__corner:min_tt_025C_1v80,-10.264956
timing__hold_vio__count__corner:min_tt_025C_1v80,11
timing__hold_r2r__ws__corner:min_tt_025C_1v80,-4.327172
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,3
timing__setup_vio__count__corner:min_tt_025C_1v80,326
timing__setup_r2r__ws__corner:min_tt_025C_1v80,-10.264956
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,259
timing__unannotated_net__count__corner:min_tt_025C_1v80,24
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,8
design__max_fanout_violation__count__corner:min_ss_100C_1v60,14
design__max_cap_violation__count__corner:min_ss_100C_1v60,2
clock__skew__worst_hold__corner:min_ss_100C_1v60,-14.067309
clock__skew__worst_setup__corner:min_ss_100C_1v60,-5.100892
timing__hold__ws__corner:min_ss_100C_1v60,-11.578176
timing__setup__ws__corner:min_ss_100C_1v60,-16.06942
timing__hold__tns__corner:min_ss_100C_1v60,-71.453499
timing__setup__tns__corner:min_ss_100C_1v60,-2872.273682
timing__hold__wns__corner:min_ss_100C_1v60,-11.578176
timing__setup__wns__corner:min_ss_100C_1v60,-16.06942
timing__hold_vio__count__corner:min_ss_100C_1v60,11
timing__hold_r2r__ws__corner:min_ss_100C_1v60,-8.190557
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,3
timing__setup_vio__count__corner:min_ss_100C_1v60,345
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-15.934204
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,246
timing__unannotated_net__count__corner:min_ss_100C_1v60,24
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,14
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-4.749688
clock__skew__worst_setup__corner:min_ff_n40C_1v95,-1.769618
timing__hold__ws__corner:min_ff_n40C_1v95,-4.014228
timing__setup__ws__corner:min_ff_n40C_1v95,-8.066387
timing__hold__tns__corner:min_ff_n40C_1v95,-22.682741
timing__setup__tns__corner:min_ff_n40C_1v95,-551.91748
timing__hold__wns__corner:min_ff_n40C_1v95,-4.014228
timing__setup__wns__corner:min_ff_n40C_1v95,-8.066387
timing__hold_vio__count__corner:min_ff_n40C_1v95,13
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,-2.845905
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,4
timing__setup_vio__count__corner:min_ff_n40C_1v95,266
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,-8.066387
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,222
timing__unannotated_net__count__corner:min_ff_n40C_1v95,24
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,4
design__max_fanout_violation__count__corner:max_tt_025C_1v80,14
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-7.48341
clock__skew__worst_setup__corner:max_tt_025C_1v80,-2.767387
timing__hold__ws__corner:max_tt_025C_1v80,-6.221919
timing__setup__ws__corner:max_tt_025C_1v80,-10.347084
timing__hold__tns__corner:max_tt_025C_1v80,-36.770489
timing__setup__tns__corner:max_tt_025C_1v80,-1119.263916
timing__hold__wns__corner:max_tt_025C_1v80,-6.221919
timing__setup__wns__corner:max_tt_025C_1v80,-10.347084
timing__hold_vio__count__corner:max_tt_025C_1v80,11
timing__hold_r2r__ws__corner:max_tt_025C_1v80,-4.350141
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,3
timing__setup_vio__count__corner:max_tt_025C_1v80,326
timing__setup_r2r__ws__corner:max_tt_025C_1v80,-10.347084
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,259
timing__unannotated_net__count__corner:max_tt_025C_1v80,24
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,8
design__max_fanout_violation__count__corner:max_ss_100C_1v60,14
design__max_cap_violation__count__corner:max_ss_100C_1v60,2
clock__skew__worst_hold__corner:max_ss_100C_1v60,-14.249155
clock__skew__worst_setup__corner:max_ss_100C_1v60,-5.201393
timing__hold__ws__corner:max_ss_100C_1v60,-11.702683
timing__setup__ws__corner:max_ss_100C_1v60,-16.265244
timing__hold__tns__corner:max_ss_100C_1v60,-72.069778
timing__setup__tns__corner:max_ss_100C_1v60,-2926.106201
timing__hold__wns__corner:max_ss_100C_1v60,-11.702683
timing__setup__wns__corner:max_ss_100C_1v60,-16.265244
timing__hold_vio__count__corner:max_ss_100C_1v60,11
timing__hold_r2r__ws__corner:max_ss_100C_1v60,-8.217406
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,3
timing__setup_vio__count__corner:max_ss_100C_1v60,346
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-16.067183
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,247
timing__unannotated_net__count__corner:max_ss_100C_1v60,24
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,14
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-4.834701
clock__skew__worst_setup__corner:max_ff_n40C_1v95,-1.814369
timing__hold__ws__corner:max_ff_n40C_1v95,-4.07361
timing__setup__ws__corner:max_ff_n40C_1v95,-8.128288
timing__hold__tns__corner:max_ff_n40C_1v95,-22.980782
timing__setup__tns__corner:max_ff_n40C_1v95,-567.002319
timing__hold__wns__corner:max_ff_n40C_1v95,-4.07361
timing__setup__wns__corner:max_ff_n40C_1v95,-8.128288
timing__hold_vio__count__corner:max_ff_n40C_1v95,13
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,-2.867
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,4
timing__setup_vio__count__corner:max_ff_n40C_1v95,272
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,-8.128288
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,227
timing__unannotated_net__count__corner:max_ff_n40C_1v95,24
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,24
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7889
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79936
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0111011
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0085388
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00056978
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0085388
ir__voltage__worst,1.79000000000000003552713678800500929355621337890625
ir__drop__avg,0.000635000000000000039239445026595376475597731769084930419921875
ir__drop__worst,0.01110000000000000049127368839663176913745701313018798828125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
