net,length_um
net799,737.98µm
net752,720.115µm
net777,639µm
net871,447.35µm
net911,428.29µm
net94,415.55µm
clknet_2_2__leaf_clk,413.38µm
net758,411.28µm
net804,411.01µm
net876,396.74µm
net776,395.275µm
net865,384.665µm
net771,384.51µm
net756,380.71µm
clknet_2_1__leaf_clk,376.48µm
net878,369.77µm
net200,363.52µm
net825,358.93µm
net784,346.555µm
net903,342.56µm
clknet_2_3__leaf_clk,332.8µm
net838,323.105µm
net665,312.87µm
net898,311.12µm
net867,310.68µm
net93,306.92µm
net908,301.82µm
net318,301.375µm
net927,296.865µm
clknet_2_0__leaf_clk,294.16µm
net875,293.725µm
net9,293.64µm
net891,292.68µm
net870,291.02µm
net750,288.78µm
net904,283.36µm
net989,283.28µm
clknet_1_0__leaf_net818,282µm
net144,278.95µm
clknet_0_clk,278.305µm
clk,268.71µm
net567,267.555µm
net912,265.85µm
net173,259.71µm
net877,258.655µm
net902,258.46µm
net906,258.08µm
net778,257.27µm
net882,253.94µm
net20,245.15µm
net774,244.71µm
net651,242.9µm
net987,242.37µm
net827,240.06µm
net15,239.87µm
net171,238.17µm
net880,235.59µm
net858,235.29µm
net216,234.24µm
net764,232.3µm
net831,232.18µm
net243,231.22µm
net748,228.49µm
net217,226.07µm
net789,225.43µm
net430,225.245µm
net210,222.89µm
net203,220.35µm
net259,218.435µm
net803,215.09µm
net905,214.795µm
net215,214.445µm
net832,213.34µm
net117,212.76µm
net148,208.89µm
net118,205.18µm
net874,204.18µm
net809,204.08µm
net74,203.77µm
net826,202.905µm
net785,202.36µm
net812,200.1µm
net547,198.14µm
net910,196.59µm
net986,195.36µm
net907,195.19µm
net787,191.39µm
net884,191.33µm
net759,190.595µm
net909,188.8µm
net446,187.78µm
net116,187.19µm
net25,184.995µm
net239,183.53µm
net417,183.13µm
net7,183.02µm
net923,182.55µm
net786,181.04µm
net782,178.945µm
net879,178.38µm
net548,176.595µm
net174,176.52µm
net913,175.805µm
net714,175.52µm
net428,173.99µm
net684,166.35µm
net534,166.21µm
net150,165.5µm
net881,164.94µm
net883,164.05µm
net988,163.98µm
net798,163.53µm
net660,162.515µm
net861,162.42µm
net80,161.59µm
net889,161.28µm
net866,159.285µm
net697,158.925µm
net768,158.88µm
net77,158.74µm
net149,157.7µm
clknet_1_1__leaf_net818,157.4µm
net213,157.13µm
net269,157.1µm
net991,156.81µm
net358,156.565µm
net890,156.07µm
net208,155.535µm
net618,153.32µm
net429,151.995µm
clknet_1_0__leaf_net862,150.9µm
net818,150.52µm
net308,148.535µm
net862,148.535µm
net844,147.18µm
net447,146.5µm
net532,146.5µm
net361,146.31µm
net209,145.905µm
net30,145.4µm
net413,145.25µm
net475,145.105µm
net760,144.76µm
net846,144.755µm
clknet_1_0__leaf_net859,144.745µm
net96,144.04µm
net261,143.83µm
net17,141.73µm
net232,140.58µm
clknet_1_0__leaf_net669,140.265µm
net104,140.06µm
net820,139.56µm
net815,137.86µm
net346,137.45µm
net316,137.1µm
net829,136.18µm
net872,135.37µm
net212,134.94µm
net894,134.825µm
net816,133.48µm
net305,132.705µm
net353,131.51µm
net835,131.16µm
net990,130.34µm
net90,129.98µm
net206,129.58µm
net709,129.47µm
clknet_1_0__leaf_net131,129.32µm
net937,127.09µm
net811,127.02µm
clknet_1_1__leaf_net805,126.32µm
net359,126.275µm
net415,125.35µm
clknet_1_0__leaf_net252,125.21µm
net852,124.73µm
net797,122.4µm
net587,121.59µm
net856,120.675µm
net566,119.625µm
net354,118.08µm
net34,117.44µm
clknet_1_1__leaf_net669,117.12µm
net915,116.6µm
net817,116.42µm
net70,116.255µm
clknet_1_1__leaf_net131,115.3µm
clknet_leaf_3_clk,115.16µm
net864,114.8µm
net0,114.59µm
net307,114.52µm
net843,113.64µm
net783,113.5µm
net299,113.11µm
net21,112.63µm
net677,112.5µm
net377,112.47µm
clknet_1_0__leaf_net464,112.2µm
net211,111.935µm
net855,111.6µm
net12,111.2µm
net868,110.56µm
net901,110.22µm
net315,110.03µm
net197,108.85µm
net85,107µm
net306,106.955µm
net840,106.275µm
net158,105.29µm
net808,104.76µm
net136,104.715µm
net888,104.5µm
clknet_1_0__leaf_net805,104.44µm
net82,103.52µm
net126,102.98µm
net822,102.47µm
net474,102.185µm
net834,102µm
net900,101.39µm
net47,100.58µm
net669,100.57µm
clknet_leaf_15_clk,100.17µm
net580,99.82µm
net233,99.66µm
net105,99.62µm
net715,99.35µm
net667,99.24µm
net849,98.795µm
clknet_leaf_22_clk,98.45µm
net841,96.76µm
net503,96.74µm
net928,94.88µm
clknet_leaf_23_clk,94.66µm
net182,93.635µm
clknet_0_net252,93.56µm
clknet_1_0__leaf_net264,93.525µm
net807,92.64µm
net626,92.22µm
net899,92.22µm
net311,91.73µm
net170,91.365µm
net985,91.24µm
clknet_leaf_36_clk,91.22µm
net332,91.1µm
net229,90.18µm
clknet_1_1__leaf_net833,89.92µm
net195,89.66µm
net850,89.64µm
clknet_1_0__leaf_net152,88.915µm
clknet_1_0__leaf_net834,88.85µm
clknet_leaf_14_clk,88.06µm
net439,87.37µm
net897,87.32µm
net536,86.41µm
clknet_1_0__leaf_net250,85.345µm
net743,85.14µm
net282,84.8µm
clknet_leaf_18_clk,84.77µm
net649,84.33µm
clknet_leaf_35_clk,83.97µm
net617,83.94µm
clknet_leaf_7_clk,83.66µm
net857,83.58µm
net661,83.54µm
net620,83.19µm
net3,83µm
net873,82.06µm
net425,81.62µm
net384,81.36µm
net836,80.8µm
net75,80.78µm
clknet_leaf_30_clk,80.78µm
net779,80.66µm
net262,80.62µm
clknet_1_1__leaf_net859,80.02µm
net356,79.53µm
net107,79.37µm
net16,79.37µm
clknet_1_1__leaf_net252,79.32µm
net853,79.16µm
net89,79.125µm
net131,78.96µm
clknet_leaf_10_clk,78.96µm
clknet_0_net834,78.88µm
net62,78.715µm
clknet_1_1__leaf_net464,78.7µm
net828,78.05µm
clknet_1_1__leaf_net860,77.64µm
net323,77.22µm
net588,76.38µm
clknet_leaf_13_clk,76.23µm
net421,76.18µm
net806,75.87µm
net237,75.12µm
clknet_leaf_4_clk,74.29µm
net662,74.12µm
net535,74.08µm
net810,74.04µm
net754,73.52µm
net72,73.3µm
net691,73.165µm
clknet_1_1__leaf_net264,73.12µm
net26,72.915µm
net847,72.705µm
net64,72.68µm
clknet_leaf_11_clk,72.65µm
net283,72.46µm
net10,72.3µm
net823,72.12µm
net102,72.02µm
net71,71.815µm
net730,71.28µm
net531,70.8µm
net29,70.71µm
net419,70.45µm
net113,70.19µm
clknet_1_1__leaf_net834,70.1µm
net830,70µm
net848,69.98µm
net893,69.82µm
clknet_1_0__leaf_net352,69.7µm
net939,69.59µm
net258,69.32µm
net860,69.3µm
clknet_leaf_0_clk,69.26µm
clknet_leaf_29_clk,69.1µm
clknet_leaf_25_clk,69.06µm
net48,68.12µm
net724,68.09µm
clknet_leaf_24_clk,67.88µm
clknet_leaf_17_clk,67.86µm
net69,67.53µm
net837,67.32µm
net55,67.14µm
net895,67.14µm
net869,66.95µm
net761,66.9µm
net330,66.56µm
net2,66.38µm
net491,66.24µm
net270,66.06µm
net432,65.74µm
net892,65.55µm
clknet_leaf_33_clk,65.465µm
net152,65.26µm
net40,65.165µm
net885,64.865µm
net767,64.78µm
clknet_1_1__leaf_net152,64.68µm
clknet_leaf_39_clk,64.34µm
clknet_0_net821,64.18µm
net43,64µm
net416,63.825µm
net744,63.18µm
net957,63.06µm
net652,62.98µm
net511,62.89µm
net551,62.78µm
net143,62.74µm
net464,62.62µm
clknet_leaf_27_clk,62.44µm
clknet_1_1__leaf_net250,62.44µm
net579,62.28µm
net765,62.28µm
net533,62.05µm
clknet_leaf_12_clk,61.66µm
clknet_leaf_28_clk,61.66µm
net978,61.62µm
net101,61.545µm
net544,61.46µm
net423,61.04µm
clknet_leaf_34_clk,61.04µm
net381,60.9µm
net168,60.755µm
net692,59.97µm
net138,59.945µm
net257,59.84µm
net448,59.47µm
net770,59.36µm
net252,59.32µm
net159,59.12µm
net606,58.945µm
net813,58.6µm
net478,58.52µm
net922,58.3µm
net240,58.02µm
net934,57.87µm
net507,57.86µm
net801,57.82µm
clknet_0_net131,57.74µm
net442,57.67µm
clknet_leaf_9_clk,57.65µm
clknet_0_net807,57.56µm
net863,57.5µm
net59,57.47µm
net842,57.36µm
clknet_1_0__leaf_net835,56.55µm
net708,56.28µm
net124,55.98µm
net594,55.61µm
net137,55.43µm
net546,55.42µm
net57,55.4µm
net833,55.4µm
net569,55.36µm
net757,55.19µm
net163,55.15µm
net450,55.13µm
clknet_1_0__leaf_net833,55.08µm
net155,54.985µm
net37,54.68µm
net886,54.68µm
net87,54.36µm
net527,54.2µm
net322,54.185µm
net605,54.145µm
net552,54.03µm
net264,54.02µm
net558,53.82µm
net250,53.7µm
clknet_0_net669,53.68µm
net286,53.65µm
clknet_1_1__leaf_net352,52.9µm
net914,52.55µm
net4,52.37µm
net83,52.26µm
net383,51.98µm
net379,51.94µm
clknet_0_net818,51.74µm
clknet_1_0__leaf_net860,51.68µm
net621,51.3µm
net572,51.24µm
clknet_leaf_1_clk,51.24µm
clknet_1_0__leaf_net807,51.2µm
net699,51.16µm
net781,50.9µm
net260,50.78µm
net460,50.76µm
net603,50.2µm
net463,50.16µm
clknet_1_0__leaf_net480,50.02µm
clknet_leaf_5_clk,49.86µm
net352,49.84µm
net8,49.76µm
net469,49.66µm
net763,49.59µm
net73,49.58µm
net461,49.52µm
clknet_0_net862,49.32µm
net221,49.29µm
clknet_1_0__leaf_net821,49.18µm
net592,49.1µm
clknet_leaf_16_clk,48.94µm
net135,48.9µm
net204,48.79µm
net896,48.76µm
net228,48.5µm
clknet_leaf_2_clk,48.43µm
net526,48.31µm
net125,48.24µm
clknet_1_0__leaf_net553,47.705µm
net313,47.62µm
net747,47.61µm
net119,47.18µm
clknet_1_0__leaf_net267,47.045µm
clknet_leaf_19_clk,46.98µm
clknet_1_0__leaf_net635,46.96µm
net517,46.715µm
clknet_0_net859,46.66µm
net824,46.18µm
net775,46.1µm
net553,46µm
net122,45.88µm
net32,45.87µm
net45,45.73µm
net710,45.54µm
net370,45.255µm
clknet_1_0__leaf_net245,45.245µm
net970,45.185µm
net253,45.14µm
net401,45.14µm
net88,45.06µm
net821,44.94µm
net791,44.92µm
net86,44.86µm
clknet_0_net833,44.76µm
clknet_leaf_21_clk,44.72µm
clknet_1_1__leaf_net821,44.72µm
clknet_leaf_20_clk,44.64µm
net38,44.52µm
net964,44.36µm
net944,44.33µm
net946,44.18µm
clknet_leaf_6_clk,43.98µm
net256,43.96µm
net366,43.7µm
net227,43.485µm
net490,43.48µm
net202,43.22µm
clknet_1_0__leaf_net251,43.19µm
clknet_leaf_31_clk,43.18µm
net298,43.105µm
net293,43.04µm
net851,42.9µm
net919,42.83µm
clknet_leaf_38_clk,42.72µm
net705,42.7µm
clknet_1_0__leaf_net619,42.42µm
net608,42.36µm
net584,42.21µm
net614,42.16µm
net595,42.09µm
net78,42µm
clknet_0_net271,41.76µm
net634,41.725µm
net99,41.72µm
net583,41.54µm
net290,41.5µm
clknet_0_net835,41.44µm
net805,41.26µm
net52,41.24µm
net181,41.2µm
net549,41.125µm
net350,41µm
net591,40.925µm
net749,40.73µm
net275,40.58µm
clknet_0_net250,40.4µm
net719,40.06µm
net497,39.98µm
net393,39.82µm
net35,39.64µm
clknet_0_net577,39.28µm
net245,39.05µm
net561,38.7µm
net28,38.34µm
net321,38.28µm
clknet_1_1__leaf_net862,38.22µm
net79,38.14µm
net405,37.98µm
clknet_1_1__leaf_net807,37.44µm
net180,37.25µm
clknet_0_net670,37.04µm
net336,36.77µm
net404,36.7µm
net542,36.62µm
net309,36.57µm
net819,36.54µm
clknet_1_1__leaf_net271,36.24µm
net314,36.22µm
net219,36.2µm
net266,36.14µm
clknet_leaf_8_clk,36.14µm
clknet_1_0__leaf_net654,36.02µm
net845,35.92µm
net312,35.885µm
clknet_0_net253,35.84µm
net443,35.69µm
clknet_0_net242,35.6µm
net320,35.4µm
net156,35.36µm
clknet_1_1__leaf_net263,35.2µm
net287,35.1µm
net773,35.06µm
net166,34.99µm
net521,34.96µm
net983,34.96µm
clknet_1_1__leaf_net835,34.88µm
net333,34.8µm
net108,34.72µm
clknet_1_1__leaf_net401,34.72µm
clknet_0_net580,34.68µm
clknet_1_1__leaf_net371,34.64µm
clknet_leaf_32_clk,34.62µm
net633,34.545µm
clknet_0_net524,34.3µm
net449,34.22µm
net36,34.1µm
net966,33.8µm
clknet_0_net464,33.76µm
net675,33.55µm
clknet_0_net377,33.54µm
clknet_0_net352,33.5µm
net22,33.42µm
net147,33.28µm
net793,33.26µm
net418,33.24µm
net512,33.2µm
clknet_0_net263,33.14µm
clknet_0_net402,33.12µm
clknet_1_1__leaf_net465,32.88µm
clknet_0_net589,32.8µm
clknet_1_0__leaf_net256,32.8µm
net194,32.42µm
net400,32.21µm
net437,32.14µm
net480,32.12µm
clknet_0_net273,31.98µm
net473,31.96µm
clknet_0_net152,31.92µm
net766,31.82µm
net540,31.8µm
clknet_1_1__leaf_net553,31.72µm
net140,31.7µm
clknet_1_1__leaf_net736,31.63µm
net46,31.54µm
net859,31.54µm
net218,31.48µm
net918,31.4µm
net887,31.31µm
net412,31.28µm
clknet_1_0__leaf_net813,31.28µm
clknet_0_net290,31.26µm
net680,31.24µm
net325,31.205µm
net193,31.18µm
net141,31.07µm
net814,31.04µm
net241,30.88µm
net612,30.78µm
net516,30.76µm
net753,30.74µm
net666,30.62µm
net372,30.54µm
net367,30.51µm
net489,30.47µm
net97,30.46µm
net589,30.24µm
clknet_0_net654,30.24µm
net1,30µm
clknet_0_net635,29.9µm
net596,29.84µm
net653,29.74µm
clknet_0_net256,29.7µm
net139,29.56µm
clknet_0_net145,29.44µm
clknet_0_net403,29.42µm
net611,29.38µm
clknet_0_net805,29.38µm
net685,29.37µm
clknet_0_net470,29.32µm
clknet_0_net473,29.32µm
net796,29.24µm
clknet_1_1__leaf_net615,29.12µm
net729,28.99µm
net378,28.7µm
clknet_1_0__leaf_net830,28.45µm
net271,28.4µm
net247,28.38µm
net288,28.345µm
net223,28.11µm
net66,28.06µm
net679,27.97µm
net593,27.92µm
clknet_0_net653,27.86µm
net328,27.82µm
net800,27.76µm
net364,27.66µm
clknet_0_net245,27.64µm
net403,27.58µm
net839,27.48µm
clknet_1_0__leaf_net824,27.47µm
clknet_1_1__leaf_net256,27.325µm
clknet_1_0__leaf_net300,27.27µm
net565,27.25µm
net568,27.14µm
clknet_0_net300,27.12µm
net84,27.1µm
net100,27.04µm
net106,26.82µm
net324,26.76µm
net510,26.76µm
clknet_0_net683,26.68µm
clknet_0_net251,26.68µm
net736,26.64µm
net746,26.6µm
net190,26.54µm
net515,26.48µm
net969,26.45µm
net453,26.42µm
net537,26.4µm
net49,26.395µm
clknet_1_0__leaf_net249,26.32µm
net482,26.25µm
net706,26.18µm
net292,26.16µm
net121,26.12µm
net465,26.1µm
net14,26.09µm
net114,25.99µm
clknet_0_net249,25.98µm
net935,25.98µm
clknet_0_net267,25.82µm
clknet_0_net493,25.76µm
clknet_1_0__leaf_net255,25.74µm
clknet_0_net553,25.72µm
net601,25.64µm
clknet_1_0__leaf_net510,25.6µm
net242,25.42µm
net493,25.36µm
clknet_0_net378,25.36µm
net11,25.3µm
net54,25.24µm
clknet_0_net401,25.14µm
clknet_0_net598,25.1µm
clknet_0_net396,25.1µm
clknet_0_net736,25.06µm
clknet_0_net510,24.84µm
clknet_0_net581,24.64µm
net164,24.44µm
clknet_1_1__leaf_net813,24.42µm
clknet_1_1__leaf_net470,24.42µm
net5,24.36µm
net762,24.36µm
clknet_0_net522,24.34µm
clknet_1_0__leaf_net465,24.28µm
net590,24.26µm
net623,23.995µm
clknet_1_1__leaf_net619,23.92µm
net81,23.88µm
net27,23.8µm
clknet_leaf_26_clk,23.8µm
net586,23.74µm
net562,23.7µm
net420,23.695µm
net426,23.64µm
net33,23.56µm
net13,23.32µm
clknet_0_net255,23.26µm
net402,23.1µm
net301,23.005µm
net635,22.98µm
clknet_0_net371,22.94µm
net539,22.9µm
net214,22.87µm
net452,22.845µm
net222,22.805µm
net543,22.8µm
net659,22.72µm
clknet_1_0__leaf_net242,22.7µm
net355,22.62µm
net648,22.58µm
net960,22.48µm
net525,22.46µm
net205,22.405µm
clknet_1_0__leaf_net366,22.38µm
clknet_0_net485,22.3µm
clknet_1_1__leaf_net238,22.26µm
net632,22.2µm
clknet_0_net412,22.12µm
clknet_1_0__leaf_net670,22.08µm
clknet_1_1__leaf_net510,21.965µm
net225,21.96µm
net334,21.96µm
clknet_0_net830,21.92µm
net555,21.86µm
clknet_1_0__leaf_net377,21.815µm
clknet_1_1__leaf_net635,21.78µm
net300,21.54µm
net365,21.54µm
net63,21.54µm
net444,21.505µm
net18,21.38µm
net672,21.35µm
net556,21.24µm
net133,21.23µm
net641,21.13µm
clknet_0_net391,21.12µm
clknet_0_net296,21.11µm
in17,21.1µm
net198,21.1µm
net76,21.1µm
net459,21.08µm
net231,21.045µm
net585,21.02µm
net410,20.86µm
net514,20.82µm
net454,20.68µm
net110,20.62µm
net795,20.56µm
clknet_1_0__leaf_net271,20.48µm
clknet_leaf_37_clk,20.33µm
clknet_1_1__leaf_net577,20.28µm
clknet_0_net652,20.28µm
net337,20.18µm
clknet_0_net268,20.12µm
clknet_0_net860,20.08µm
net53,19.98µm
clknet_1_0__leaf_net127,19.98µm
clknet_1_1__leaf_net245,19.94µm
net609,19.93µm
net725,19.81µm
clknet_1_0__leaf_net652,19.78µm
clknet_0_net381,19.64µm
net327,19.5µm
clknet_0_net824,19.36µm
clknet_0_net375,19.24µm
clknet_1_1__leaf_net145,19.2µm
net414,19.1µm
net529,19.05µm
net244,19µm
clknet_0_net615,19µm
net61,18.98µm
net707,18.98µm
net422,18.92µm
net802,18.86µm
net115,18.82µm
clknet_1_1__leaf_net830,18.82µm
net751,18.78µm
clknet_0_net813,18.72µm
clknet_1_0__leaf_net473,18.52µm
net485,18.4µm
clknet_0_net632,18.36µm
clknet_1_1__leaf_net522,18.32µm
clknet_1_1__leaf_net598,18.3µm
net435,18.265µm
net267,18.14µm
net720,18.14µm
clknet_1_0__leaf_net290,18.105µm
clknet_0_net465,17.98µm
clknet_0_net280,17.98µm
net647,17.92µm
clknet_1_0__leaf_net522,17.92µm
clknet_1_0__leaf_net577,17.68µm
clknet_0_net582,17.64µm
net187,17.6µm
net930,17.56µm
net67,17.505µm
net681,17.5µm
clknet_0_net355,17.36µm
net925,17.34µm
clknet_0_net127,17.32µm
net374,17.285µm
clknet_0_net845,17.26µm
net690,17.24µm
net395,17.12µm
net524,17.06µm
clknet_1_1__leaf_net377,17.06µm
clknet_0_net629,16.94µm
net616,16.9µm
net504,16.88µm
net68,16.88µm
clknet_1_0__leaf_net253,16.88µm
net457,16.835µm
net466,16.83µm
net431,16.82µm
clknet_1_0__leaf_net493,16.82µm
net398,16.8µm
clknet_1_1__leaf_net253,16.78µm
clknet_1_0__leaf_net381,16.575µm
net123,16.48µm
clknet_0_net525,16.44µm
clknet_0_net238,16.26µm
net134,16.2µm
clknet_1_1__leaf_net485,16.2µm
net628,16.145µm
net234,16.1µm
clknet_0_net480,15.98µm
net518,15.94µm
net712,15.84µm
clknet_1_1__leaf_net824,15.84µm
in38,15.82µm
net559,15.8µm
clknet_1_1__leaf_net391,15.72µm
clknet_1_0__leaf_net736,15.65µm
net574,15.44µm
clknet_0_net619,15.4µm
net132,15.34µm
clknet_1_0__leaf_net632,15.32µm
clknet_1_1__leaf_net480,15.3µm
net631,15.26µm
net689,15.055µm
net91,15.04µm
clknet_1_1__leaf_net290,15µm
net615,14.96µm
net494,14.95µm
net183,14.92µm
net530,14.92µm
net31,14.815µm
net745,14.8µm
net481,14.74µm
net396,14.72µm
clknet_1_0__leaf_net263,14.56µm
net406,14.52µm
net60,14.44µm
net976,14.38µm
net693,14.34µm
net602,14.3µm
net317,14.26µm
net51,14.22µm
in46,14.12µm
net120,14.12µm
net683,14.06µm
net92,14µm
net755,14µm
in23,13.98µm
net189,13.98µm
clknet_1_1__leaf_net589,13.92µm
net727,13.84µm
net952,13.81µm
net676,13.77µm
clknet_1_0__leaf_net402,13.76µm
in10,13.75µm
out2,13.66µm
net538,13.64µm
net483,13.6µm
net674,13.5µm
net735,13.5µm
clknet_1_1__leaf_net396,13.43µm
net111,13.4µm
net207,13.34µm
net238,13.32µm
net263,13.26µm
net528,13.26µm
net671,13.24µm
net931,13.19µm
net713,13.16µm
net932,13.16µm
net947,13.16µm
net499,13.14µm
clknet_0_net264,13.12µm
clknet_0_net129,13.12µm
net95,13.08µm
in20,13.06µm
in43,13.06µm
net973,13.06µm
net348,13.05µm
net399,13.04µm
net500,13.04µm
net610,13.035µm
net467,12.82µm
clknet_1_1__leaf_net242,12.805µm
clknet_1_1__leaf_net296,12.76µm
net624,12.725µm
in56,12.7µm
net375,12.66µm
net732,12.66µm
out39,12.63µm
net339,12.62µm
net703,12.6µm
clknet_1_0__leaf_net845,12.58µm
net982,12.58µm
net522,12.56µm
net280,12.54µm
clknet_1_1__leaf_net412,12.53µm
out22,12.525µm
clknet_1_0__leaf_net371,12.52µm
clknet_1_0__leaf_net589,12.51µm
net513,12.5µm
in34,12.4µm
in39,12.4µm
in59,12.4µm
net948,12.35µm
net427,12.34µm
net737,12.32µm
clknet_1_1__leaf_net653,12.24µm
net573,12.2µm
net347,12.165µm
net192,12.12µm
net391,12.08µm
net664,12.08µm
net407,12.04µm
net434,12.04µm
net488,11.995µm
net486,11.985µm
net619,11.96µm
net545,11.92µm
net696,11.92µm
clknet_1_1__leaf_net280,11.92µm
net254,11.84µm
net281,11.82µm
net505,11.82µm
net570,11.82µm
net613,11.82µm
in45,11.78µm
clknet_1_0__leaf_net615,11.78µm
net487,11.745µm
net698,11.72µm
net349,11.7µm
in51,11.68µm
net255,11.66µm
clknet_0_net366,11.54µm
net277,11.52µm
net940,11.5µm
net129,11.46µm
net112,11.42µm
net342,11.42µm
net742,11.4µm
out14,11.36µm
net109,11.32µm
net433,11.28µm
net268,11.16µm
net600,11.12µm
clknet_1_1__leaf_net355,11.12µm
clknet_1_1__leaf_net581,11.08µm
net794,11.04µm
in52,11.02µm
in9,11.02µm
net506,11µm
net582,10.92µm
in48,10.9µm
net780,10.9µm
clknet_1_1__leaf_net473,10.9µm
net363,10.86µm
net576,10.78µm
net251,10.75µm
net371,10.74µm
clknet_1_1__leaf_net580,10.74µm
net686,10.7µm
net304,10.68µm
net654,10.66µm
net790,10.585µm
net479,10.58µm
net297,10.565µm
out10,10.56µm
net772,10.56µm
clknet_1_1__leaf_net654,10.46µm
net924,10.44µm
net955,10.36µm
net642,10.34µm
in2,10.33µm
clknet_1_0__leaf_net355,10.29µm
clknet_1_0__leaf_net145,10.29µm
net484,10.28µm
net575,10.28µm
net142,10.27µm
net273,10.24µm
clknet_1_1__leaf_net375,10.235µm
clknet_1_1__leaf_net403,10.2µm
net436,10.195µm
net265,10.19µm
net98,10.14µm
clknet_1_1__leaf_net129,10.12µm
net369,10.095µm
net476,10.08µm
net145,10.02µm
net640,9.98µm
net451,9.94µm
net6,9.86µm
net24,9.78µm
clknet_1_0__leaf_net524,9.78µm
in37,9.76µm
in40,9.76µm
net951,9.76µm
clknet_1_0__leaf_net485,9.66µm
in28,9.64µm
in42,9.64µm
in53,9.64µm
in55,9.64µm
in60,9.64µm
out12,9.64µm
out7,9.64µm
net541,9.56µm
clknet_1_0__leaf_net280,9.56µm
clknet_1_1__leaf_net524,9.52µm
in0,9.51µm
net294,9.48µm
net397,9.44µm
net949,9.44µm
in6,9.4µm
net388,9.335µm
net394,9.32µm
in24,9.31µm
net177,9.31µm
in32,9.3µm
in61,9.3µm
net645,9.28µm
net644,9.18µm
net917,9.12µm
clknet_1_0__leaf_net268,9.1µm
net740,9.08µm
out24,9.06µm
in47,9.055µm
net704,9.04µm
net967,8.985µm
net738,8.98µm
clknet_1_0__leaf_net653,8.98µm
out56,8.96µm
clknet_1_1__leaf_net683,8.94µm
net291,8.9µm
net577,8.9µm
clknet_1_1__leaf_net402,8.9µm
net50,8.86µm
clknet_1_1__leaf_net493,8.86µm
clknet_1_1__leaf_net525,8.86µm
in49,8.84µm
in54,8.84µm
net230,8.84µm
clknet_1_0__leaf_net581,8.82µm
net769,8.78µm
net387,8.76µm
in31,8.73µm
in26,8.72µm
in27,8.72µm
in35,8.72µm
in44,8.72µm
in57,8.72µm
in8,8.72µm
out0,8.72µm
out25,8.72µm
out4,8.72µm
net643,8.7µm
in21,8.68µm
net160,8.65µm
net249,8.6µm
net564,8.58µm
net956,8.58µm
net578,8.54µm
net65,8.52µm
out26,8.5µm
out30,8.5µm
out31,8.5µm
out40,8.5µm
out42,8.5µm
out45,8.5µm
out50,8.5µm
out54,8.5µm
out57,8.5µm
out9,8.5µm
clknet_1_1__leaf_net582,8.5µm
clknet_1_0__leaf_net273,8.5µm
net39,8.48µm
clknet_1_1__leaf_net632,8.48µm
clknet_1_0__leaf_net391,8.44µm
in58,8.39µm
net335,8.36µm
net501,8.34µm
net563,8.32µm
net604,8.32µm
net678,8.32µm
clknet_1_0__leaf_net470,8.32µm
net658,8.22µm
net196,8.2µm
net979,8.16µm
in18,8.15µm
net274,8.1µm
net310,8.08µm
net344,8.08µm
net295,8.065µm
net188,8.06µm
net338,8.06µm
net408,8.06µm
net477,8.06µm
net650,8.06µm
out60,8.04µm
clknet_1_0__leaf_net401,8.03µm
clknet_1_1__leaf_net381,8.02µm
net185,8µm
net376,8µm
net722,7.99µm
net201,7.985µm
net471,7.98µm
net718,7.98µm
net936,7.94µm
net176,7.86µm
net373,7.82µm
clknet_1_0__leaf_net403,7.82µm
in12,7.81µm
net23,7.74µm
in36,7.69µm
net351,7.68µm
net550,7.68µm
net41,7.615µm
net235,7.6µm
net933,7.6µm
net445,7.54µm
net438,7.53µm
net220,7.52µm
net673,7.48µm
in11,7.47µm
net607,7.46µm
net668,7.42µm
net597,7.4µm
clknet_1_1__leaf_net249,7.24µm
net224,7.22µm
net296,7.22µm
net921,7.22µm
net130,7.16µm
clknet_1_0__leaf_net412,7.14µm
net462,7.12µm
clknet_1_1__leaf_net273,7.1µm
in33,7.01µm
net468,6.94µm
net496,6.925µm
net470,6.84µm
net520,6.84µm
net248,6.8µm
in13,6.77µm
clknet_1_0__leaf_net296,6.76µm
in7,6.67µm
net502,6.64µm
net965,6.6µm
net175,6.52µm
net246,6.49µm
net319,6.48µm
in19,6.45µm
in5,6.45µm
in50,6.43µm
net392,6.42µm
clknet_1_0__leaf_net580,6.42µm
in41,6.33µm
net456,6.3µm
net638,6.28µm
in22,6.26µm
net694,6.26µm
clknet_1_1__leaf_net670,6.26µm
clknet_1_0__leaf_net598,6.26µm
