net,length_um
net288,45.89µm
net403,45.88µm
net419,45.76µm
net808,45.68µm
net490,45.6µm
net121,45.56µm
net430,45.45µm
net290,44.78µm
net256,44.245µm
net247,44.06µm
net705,44.04µm
net814,43.82µm
net862,43.49µm
net397,43.26µm
net147,43.16µm
net46,43µm
net802,42.16µm
net305,42.1µm
net365,42.04µm
net332,41.56µm
net415,40.9µm
net84,40.83µm
net339,40.82µm
net439,40.355µm
net472,40.27µm
net781,40.22µm
net538,39.935µm
net394,39.82µm
net629,39.55µm
net724,39.22µm
net508,39.13µm
net551,39.06µm
net561,39.06µm
net202,38.86µm
net510,38.8µm
net393,38.72µm
net666,38.54µm
net758,38.5µm
net400,38.37µm
net553,38.36µm
net186,38.3µm
net328,37.94µm
net804,37.82µm
net82,37.64µm
net149,37.55µm
net385,37.46µm
net434,37.415µm
net324,36.76µm
net363,36.56µm
net515,36.535µm
net109,36.25µm
net698,36.16µm
net304,36.085µm
net224,35.9µm
net509,35.8µm
net368,35.775µm
net95,35.42µm
net169,35.15µm
net151,34.92µm
net0,34.84µm
net86,34.72µm
net79,34.64µm
net163,34.58µm
net483,34.34µm
net636,34.23µm
net428,34.19µm
net296,34.06µm
net627,34.035µm
net25,34.01µm
net208,33.94µm
net253,33.8µm
net610,33.78µm
net837,33.76µm
net80,33.68µm
net34,33.58µm
net61,33.46µm
net796,32.98µm
net154,32.92µm
net251,32.88µm
net590,32.54µm
net555,32.42µm
net284,32.34µm
net475,32.08µm
net274,32µm
net78,31.66µm
net482,31.55µm
net226,31.2µm
net178,30.91µm
net618,30.9µm
net597,30.62µm
net402,30.44µm
net821,30.2µm
net622,30.06µm
net9,30.01µm
net830,30µm
net863,29.98µm
net15,29.66µm
net355,29.6µm
net70,29.58µm
net96,29.56µm
net833,29.17µm
net511,28.96µm
net146,28.94µm
net142,28.91µm
net399,28.86µm
net287,28.7µm
net602,28.6µm
net159,28.415µm
net88,28.28µm
net524,28.26µm
net246,28.16µm
net75,27.98µm
net786,27.64µm
net424,27.6µm
net567,27.52µm
net495,26.94µm
net63,26.8µm
net41,26.7µm
net271,26.6µm
net815,26.56µm
net494,26.44µm
net303,26.42µm
net463,26.36µm
net89,26.3µm
net577,26.22µm
net213,26.1µm
net152,25.92µm
net444,25.84µm
net644,25.73µm
net608,25.47µm
net22,25.1µm
net591,24.755µm
net239,24.64µm
net408,24.56µm
net557,24.54µm
net474,24.38µm
net54,24.38µm
net377,24.36µm
net667,24.26µm
net421,24.02µm
net39,23.82µm
net765,23.5µm
net374,23.42µm
net450,23.35µm
clknet_0_net751,23.26µm
net176,22.9µm
net157,22.74µm
net216,22.73µm
net118,22.62µm
net383,22.62µm
net144,22.61µm
net189,22.58µm
net603,22.38µm
net229,22.28µm
net387,22.28µm
net661,22.22µm
net381,22.2µm
net570,21.915µm
net658,21.82µm
net824,21.66µm
net298,21.58µm
net380,21.44µm
net507,21.34µm
net23,21.3µm
net457,21.17µm
net576,20.94µm
net19,20.93µm
net197,20.92µm
net240,20.88µm
net334,20.86µm
net155,20.72µm
net128,20.68µm
net195,20.68µm
net352,20.64µm
net624,20.6µm
net835,20.32µm
net209,20.22µm
net126,20.16µm
net285,20.06µm
net45,20µm
net4,19.48µm
net245,19.44µm
net215,19.415µm
net556,19.3µm
net101,19.195µm
net470,19.06µm
net129,19.01µm
net87,18.94µm
net191,18.86µm
net388,18.86µm
net168,18.765µm
net756,18.56µm
net255,18.52µm
net64,18.26µm
net312,18.16µm
net545,18.16µm
net492,18.035µm
net150,18.02µm
net6,17.86µm
net364,17.82µm
net655,17.73µm
net175,17.7µm
net565,17.6µm
net267,17.54µm
net259,17.53µm
net856,17.34µm
net487,17.24µm
in13,17.18µm
net716,17.18µm
net662,17.14µm
net56,17.02µm
net600,16.94µm
net461,16.89µm
net77,16.86µm
net249,16.84µm
net807,16.8µm
net601,16.76µm
net502,16.54µm
net484,16.52µm
net309,16.34µm
net322,16.17µm
net801,16.14µm
net526,16.1µm
net207,16.05µm
net52,16.02µm
net192,15.98µm
net177,15.92µm
net699,15.92µm
net621,15.52µm
net769,15.46µm
net51,15.44µm
net816,15.3µm
net59,15.22µm
net606,15.22µm
net42,15.14µm
net598,15.14µm
in50,15.12µm
net73,15.1µm
net854,15.04µm
net406,14.92µm
net48,14.88µm
net828,14.79µm
net140,14.59µm
net38,14.525µm
net476,14.52µm
net35,14.48µm
net766,14.42µm
clknet_0_net770,14.34µm
net153,14.3µm
net648,14.24µm
out50,14.24µm
net615,14.225µm
out54,14.2µm
in9,13.98µm
net480,13.9µm
net665,13.885µm
net455,13.8µm
net416,13.76µm
net174,13.56µm
net633,13.54µm
in20,13.52µm
net345,13.44µm
net868,13.395µm
net333,13.32µm
net832,13.32µm
out1,13.3µm
net297,13.23µm
net353,13.22µm
out25,13.18µm
net336,13.16µm
net496,13.14µm
net451,13.12µm
net390,13.095µm
net242,12.96µm
net300,12.96µm
net50,12.935µm
net60,12.915µm
net58,12.86µm
net826,12.84µm
clknet_1_0__leaf_net770,12.7µm
net578,12.62µm
net180,12.58µm
out39,12.36µm
net513,12.32µm
net609,12.16µm
net477,12.06µm
net10,12.04µm
net410,11.96µm
net44,11.94µm
out11,11.94µm
out26,11.94µm
out41,11.94µm
out53,11.94µm
net468,11.92µm
out40,11.9µm
out45,11.9µm
net550,11.84µm
in32,11.7µm
net343,11.62µm
in18,11.6µm
net404,11.55µm
net371,11.52µm
net426,11.52µm
net373,11.5µm
out43,11.48µm
out60,11.44µm
net325,11.39µm
net499,11.36µm
out16,11.36µm
net575,11.345µm
in17,11.24µm
net866,11.24µm
net268,11.2µm
net751,11.16µm
net179,11.115µm
in19,11.02µm
net519,11.02µm
out15,11.02µm
out2,11.02µm
net250,11µm
out46,10.98µm
net702,10.98µm
net593,10.82µm
in54,10.78µm
net739,10.62µm
out0,10.56µm
out23,10.56µm
out4,10.56µm
net161,10.43µm
net156,10.38µm
net668,10.34µm
net669,10.34µm
net604,10.32µm
net641,10.2µm
net651,10.135µm
net571,10.02µm
net401,10µm
net241,9.98µm
out22,9.98µm
out58,9.98µm
net414,9.94µm
net631,9.9µm
net867,9.86µm
net506,9.84µm
net37,9.82µm
net85,9.66µm
in8,9.64µm
out13,9.64µm
out28,9.64µm
out29,9.64µm
out31,9.64µm
net822,9.63µm
net107,9.62µm
net165,9.59µm
net501,9.52µm
net100,9.48µm
net260,9.48µm
in59,9.39µm
net778,9.36µm
net847,9.32µm
net806,9.205µm
net55,9.2µm
out33,9.18µm
out42,9.18µm
out44,9.18µm
out57,9.18µm
net652,9.16µm
net358,9.08µm
in24,9.07µm
in45,9.07µm
out3,9.06µm
out30,9.06µm
out35,9.06µm
out47,9.06µm
out51,9.06µm
out59,9.06µm
out6,9.06µm
net637,9µm
net489,8.905µm
net214,8.9µm
net366,8.9µm
net398,8.9µm
net458,8.86µm
net864,8.86µm
in4,8.84µm
net359,8.82µm
in0,8.72µm
in12,8.72µm
in15,8.72µm
in2,8.72µm
in5,8.72µm
out27,8.72µm
out55,8.72µm
in26,8.63µm
in28,8.63µm
in22,8.61µm
out38,8.5µm
clknet_1_1__leaf_net751,8.5µm
net647,8.48µm
net456,8.44µm
net656,8.4µm
net770,8.4µm
in48,8.39µm
in55,8.39µm
net800,8.34µm
net462,8.31µm
net183,8.26µm
out34,8.26µm
net841,8.235µm
in46,8.17µm
net130,8.14µm
net167,8.14µm
net857,8.1µm
net127,8.06µm
in14,8.05µm
net270,8.035µm
net605,8.02µm
net650,8.02µm
net1,7.98µm
net563,7.98µm
net831,7.98µm
net111,7.86µm
net594,7.86µm
net201,7.74µm
net460,7.72µm
in7,7.71µm
net569,7.7µm
in49,7.69µm
in51,7.69µm
net634,7.685µm
net849,7.68µm
net491,7.645µm
net136,7.64µm
net158,7.64µm
net120,7.6µm
net432,7.6µm
in58,7.59µm
net310,7.565µm
net560,7.56µm
net115,7.54µm
net114,7.52µm
net638,7.52µm
net263,7.46µm
net106,7.4µm
net317,7.4µm
in25,7.37µm
in27,7.37µm
in39,7.37µm
in61,7.37µm
in38,7.35µm
in42,7.35µm
net340,7.24µm
net379,7.24µm
net859,7.24µm
net181,7.18µm
net212,7.18µm
net273,7.18µm
net554,7.18µm
net493,7.1µm
net523,7.1µm
in6,7.03µm
in31,7.01µm
in34,7.01µm
in40,7.01µm
net185,6.98µm
in37,6.91µm
net321,6.86µm
net433,6.86µm
net485,6.84µm
net479,6.78µm
in10,6.72µm
net696,6.72µm
net852,6.72µm
in11,6.69µm
in21,6.69µm
in57,6.69µm
in29,6.67µm
net20,6.64µm
net588,6.64µm
in44,6.57µm
in1,6.45µm
in16,6.33µm
in60,6.33µm
net375,6.31µm
net327,6.3µm
net441,6.3µm
net282,6.26µm
net302,6.26µm
net505,6.26µm
net626,6.235µm
in23,6.23µm
net797,6.2µm
in3,6.09µm
net453,6.08µm
net372,6.04µm
net865,6.03µm
in43,5.99µm
in52,5.99µm
net116,5.98µm
net431,5.965µm
net471,5.94µm
net559,5.86µm
net643,5.855µm
net440,5.84µm
net396,5.8µm
net654,5.8µm
out10,5.75µm
out14,5.75µm
out18,5.75µm
out20,5.75µm
out61,5.75µm
net17,5.72µm
net514,5.72µm
net516,5.72µm
net614,5.72µm
net625,5.72µm
net139,5.68µm
net382,5.68µm
in33,5.65µm
in35,5.65µm
in36,5.65µm
in47,5.65µm
in56,5.65µm
net612,5.6µm
out52,5.53µm
net243,5.34µm
net467,5.34µm
net503,5.34µm
net573,5.34µm
net596,5.34µm
net853,5.34µm
in30,5.31µm
in41,5.31µm
in53,5.31µm
net592,5.28µm
net533,5.26µm
net640,5.22µm
out12,5.07µm
out21,5.07µm
out32,5.07µm
out37,5.07µm
out48,5.07µm
out56,5.07µm
out7,5.07µm
net504,5.06µm
net848,5.05µm
net391,5.03µm
net278,5.02µm
net818,5.02µm
net225,5.015µm
net308,5µm
net182,4.94µm
net642,4.92µm
net262,4.88µm
net623,4.88µm
net448,4.8µm
net611,4.76µm
net777,4.76µm
net173,4.68µm
net280,4.6µm
net850,4.57µm
net122,4.54µm
net595,4.54µm
net478,4.48µm
net617,4.48µm
net138,4.46µm
out17,4.39µm
out19,4.39µm
out5,4.39µm
out8,4.39µm
out9,4.39µm
net269,4.36µm
net405,4.34µm
net840,4.34µm
net858,4.34µm
net839,4.22µm
net160,4.2µm
net535,4.2µm
net360,4.14µm
net663,4.12µm
net465,4.08µm
net279,4µm
net452,4µm
net566,4µm
net619,4µm
net568,3.88µm
net846,3.88µm
net386,3.77µm
net68,3.76µm
net473,3.68µm
net540,3.56µm
net664,3.56µm
net110,3.54µm
net423,3.54µm
net47,3.54µm
net607,3.54µm
net370,3.42µm
net392,3.42µm
net586,3.42µm
net660,3.42µm
net843,3.42µm
net446,3.345µm
net338,3.22µm
net552,3.22µm
net599,3.22µm
net870,3.22µm
net248,3.08µm
net574,3.08µm
net589,3.08µm
net842,3.08µm
net855,3.08µm
net613,2.98µm
net827,2.98µm
net347,2.96µm
net351,2.96µm
net518,2.96µm
net541,2.96µm
net820,2.96µm
net369,2.86µm
net813,2.86µm
net834,2.84µm
net836,2.84µm
net412,2.76µm
net649,2.74µm
net659,2.72µm
clknet_1_0__leaf_net751,2.72µm
net132,2.64µm
net384,2.62µm
net417,2.62µm
net486,2.62µm
net539,2.62µm
net562,2.62µm
net579,2.62µm
net257,2.595µm
net277,2.5µm
net584,2.5µm
net639,2.5µm
net628,2.38µm
net646,2.335µm
net252,2.3µm
net276,2.3µm
net845,2.3µm
net166,2.28µm
net275,2.28µm
net286,2.18µm
net498,2.18µm
net583,2.18µm
net123,2.16µm
net616,2.16µm
net62,2.16µm
net844,2.16µm
net860,2.16µm
net258,2.04µm
net221,1.865µm
net170,1.84µm
net281,1.84µm
net520,1.84µm
net587,1.84µm
net799,1.82µm
net861,1.82µm
net585,1.72µm
net222,1.71µm
net223,1.7µm
net521,1.7µm
net549,1.7µm
net57,1.7µm
net653,1.7µm
net670,1.7µm
net810,1.7µm
net851,1.7µm
net261,1.6µm
net184,1.38µm
net361,1.38µm
net630,1.38µm
clknet_1_1__leaf_net770,1.38µm
net581,0.92µm
net546,0.69µm
net316,0.46µm
net838,0.46µm
net143,0.39µm
