net,length_um
clknet_0_net202,42.96µm
net104,42.9µm
net463,42.86µm
net588,42.72µm
clknet_1_1__leaf_net200,42.5µm
clknet_0_net196,42.48µm
net570,42µm
net585,41.85µm
clknet_1_1__leaf_net906,41.84µm
net324,41.82µm
net494,41.67µm
clknet_1_1__leaf_net600,41.665µm
clknet_4_10_0_clk,41.48µm
net791,41.3µm
net166,40.98µm
clknet_0_net191,40.96µm
clknet_0_net589,40.96µm
net611,40.88µm
net75,40.68µm
net633,40.485µm
clknet_1_0__leaf_net362,40.38µm
net913,40.3µm
net144,40.055µm
net264,39.88µm
net425,39.87µm
net895,39.74µm
clknet_1_0__leaf_net198,39.6µm
clknet_1_1__leaf_net797,39.48µm
net499,39.36µm
net567,39.24µm
net35,39.23µm
clknet_1_0__leaf_net912,39.14µm
clknet_0_net187,39.12µm
net613,39.08µm
clknet_0_net901,38.86µm
net914,38.82µm
net969,38.81µm
net773,38.52µm
net575,38.5µm
net96,38.48µm
net718,38.34µm
clknet_1_0__leaf_net199,38.28µm
net280,38.22µm
net290,38.15µm
net441,38.1µm
clknet_1_1__leaf_net913,38.06µm
net147,37.895µm
net145,37.68µm
net552,37.665µm
net592,37.12µm
net987,36.9µm
net86,36.84µm
net602,36.68µm
net768,36.52µm
net217,36.46µm
net462,36.44µm
net534,36.18µm
net574,36.12µm
net901,35.68µm
net603,35.38µm
clknet_1_1__leaf_net204,35.34µm
net82,35.2µm
net724,35.105µm
net912,35.1µm
net403,35.02µm
net204,34.96µm
clknet_0_net190,34.96µm
net834,34.84µm
net216,34.8µm
net743,34.71µm
net197,34.54µm
net112,34.46µm
clknet_1_0__leaf_net203,34.45µm
net890,34.4µm
net131,34.38µm
net519,34.34µm
net284,34.11µm
net265,34.08µm
net356,34.08µm
clknet_0_net188,34.04µm
clknet_1_0__leaf_net238,34.03µm
net549,33.99µm
clknet_0_net815,33.94µm
clknet_1_1__leaf_net351,33.92µm
clknet_1_0__leaf_net901,33.92µm
clknet_1_0__leaf_net913,33.91µm
net866,33.74µm
net608,33.72µm
clknet_1_1__leaf_net191,33.64µm
net557,33.56µm
clknet_0_net200,33.36µm
clknet_0_net912,33.32µm
net767,33.29µm
net491,33.285µm
net142,33.24µm
net146,33.24µm
net464,33.2µm
net884,33.18µm
net593,33.14µm
net596,33.04µm
clknet_0_net358,33.04µm
net10,32.94µm
clknet_0_net197,32.94µm
clknet_1_0__leaf_net360,32.9µm
clknet_1_1__leaf_net231,32.88µm
clknet_0_net195,32.8µm
net800,32.73µm
clknet_0_net582,32.68µm
net600,32.62µm
net305,32.5µm
net917,32.48µm
net709,32.35µm
clknet_1_0__leaf_net471,32.24µm
clknet_0_net357,32.18µm
net835,32.16µm
clknet_0_net201,32.16µm
net201,32.12µm
net555,32.02µm
net702,32.02µm
net298,31.885µm
clknet_1_0__leaf_net351,31.84µm
net439,31.81µm
net326,31.78µm
clknet_1_0__leaf_net756,31.78µm
clknet_1_0__leaf_net595,31.78µm
net219,31.68µm
net461,31.58µm
net482,31.58µm
net335,31.48µm
clknet_0_net598,31.46µm
clknet_0_net594,31.46µm
net879,31.32µm
net108,31.305µm
net761,31.3µm
clknet_0_net581,31.26µm
net620,31.16µm
clknet_0_net345,31.16µm
net171,31.02µm
clknet_0_net339,30.96µm
net526,30.92µm
clknet_0_net361,30.92µm
net127,30.68µm
net54,30.68µm
clknet_1_1__leaf_net189,30.68µm
net877,30.66µm
net489,30.62µm
clknet_1_0__leaf_net349,30.54µm
clknet_0_net597,30.52µm
net310,30.36µm
net501,30.16µm
net965,30.08µm
clknet_0_net756,30.04µm
net485,30µm
net177,29.9µm
net340,29.86µm
net90,29.83µm
net435,29.7µm
net373,29.63µm
net135,29.6µm
net436,29.5µm
clknet_1_1__leaf_net453,29.4µm
net698,29.39µm
net640,29.36µm
net515,29.325µm
clknet_0_net356,29.26µm
net268,29.16µm
net427,28.96µm
clknet_1_0__leaf_net339,28.96µm
clknet_1_1__leaf_net777,28.785µm
net916,28.74µm
net774,28.72µm
net191,28.7µm
net32,28.7µm
net239,28.68µm
clknet_1_0__leaf_net233,28.66µm
net386,28.64µm
net431,28.56µm
clknet_0_net595,28.4µm
net119,28.24µm
clknet_1_0__leaf_net202,28.24µm
clknet_0_net583,28.12µm
net635,28.11µm
clknet_1_0__leaf_net196,28µm
net218,27.98µm
net22,27.92µm
net418,27.92µm
clknet_1_0__leaf_net340,27.91µm
clknet_1_0__leaf_net777,27.885µm
clknet_1_1__leaf_net778,27.85µm
clknet_0_net596,27.8µm
clknet_1_0__leaf_net776,27.72µm
net44,27.605µm
clknet_0_net587,27.58µm
net878,27.48µm
clknet_0_net708,27.32µm
net697,27.3µm
clknet_0_net351,27.28µm
clknet_0_net349,27.24µm
clknet_0_net354,27.1µm
net294,27.085µm
net287,27.08µm
net334,27.02µm
net576,27.02µm
clknet_0_net590,26.96µm
clknet_1_0__leaf_net231,26.9µm
net717,26.88µm
clknet_0_net199,26.88µm
clknet_0_net778,26.86µm
clknet_0_net471,26.72µm
net271,26.68µm
clknet_1_0__leaf_net353,26.64µm
out59,26.62µm
net266,26.585µm
net225,26.52µm
clknet_0_net777,26.46µm
net807,26.44µm
clknet_1_0__leaf_net191,26.44µm
net263,26.3µm
net748,26.29µm
net598,26.22µm
net806,26.18µm
net13,26.1µm
net727,26.08µm
net279,26.02µm
clknet_0_net473,26µm
net486,25.92µm
net292,25.9µm
clknet_0_net362,25.9µm
net176,25.84µm
net402,25.76µm
net771,25.68µm
net379,25.66µm
clknet_1_1__leaf_net190,25.61µm
net382,25.48µm
net57,25.44µm
clknet_0_net730,25.42µm
net723,25.41µm
clknet_1_0__leaf_net906,25.38µm
net172,25.36µm
clknet_1_0__leaf_net778,25.34µm
net188,25.3µm
net395,25.285µm
net493,25.24µm
net91,25.24µm
net41,25.18µm
net874,25.18µm
clknet_1_0__leaf_net345,25.14µm
net99,25.1µm
clknet_1_0__leaf_net350,25.06µm
clknet_0_net340,25.06µm
net606,24.92µm
clknet_1_1__leaf_net730,24.9µm
clknet_0_net816,24.84µm
clknet_0_net798,24.84µm
net819,24.74µm
clknet_1_1__leaf_net912,24.73µm
net365,24.72µm
clknet_1_1__leaf_net196,24.72µm
net590,24.7µm
net672,24.67µm
net102,24.58µm
net380,24.505µm
net699,24.5µm
clknet_0_net271,24.48µm
net189,24.3µm
net595,24.3µm
net328,24.28µm
net151,24.26µm
net40,24.26µm
net777,24.26µm
net83,24.24µm
net330,24.22µm
net776,24.2µm
net898,24.16µm
net582,24.1µm
net775,24.04µm
net254,24µm
net479,23.98µm
net544,23.92µm
net686,23.88µm
clknet_1_1__leaf_net582,23.88µm
clknet_0_net451,23.84µm
net566,23.78µm
net506,23.74µm
clknet_1_1__leaf_net452,23.74µm
net198,23.7µm
net733,23.67µm
clknet_1_0__leaf_net914,23.66µm
net946,23.59µm
clknet_0_net353,23.46µm
net731,23.4µm
net16,23.385µm
net304,23.22µm
net711,23.22µm
net229,23.16µm
net56,23.16µm
net21,22.96µm
clknet_1_0__leaf_net594,22.96µm
net525,22.88µm
net942,22.82µm
net993,22.76µm
net766,22.7µm
clknet_0_net757,22.68µm
net713,22.66µm
clknet_0_net247,22.66µm
net405,22.62µm
net550,22.6µm
net199,22.54µm
clknet_0_net233,22.46µm
clknet_0_net797,22.4µm
clknet_1_1__leaf_net587,22.4µm
net350,22.34µm
net540,22.32µm
clknet_0_net796,22.27µm
clknet_1_1__leaf_net583,22.2µm
net437,22.16µm
clknet_0_net453,22.14µm
net811,22.04µm
net753,22.02µm
net130,21.94µm
net694,21.88µm
net235,21.86µm
clknet_1_1__leaf_net201,21.72µm
net253,21.66µm
net888,21.58µm
net210,21.54µm
net997,21.54µm
net522,21.52µm
net502,21.5µm
net3,21.46µm
net750,21.46µm
clknet_0_net577,21.46µm
net153,21.34µm
net374,21.32µm
clknet_1_0__leaf_net361,21.32µm
clknet_1_1__leaf_net353,21.32µm
net149,21.31µm
net849,21.28µm
net314,21.24µm
net248,21.22µm
net779,21.12µm
net231,20.96µm
clknet_1_1__leaf_net596,20.9µm
net212,20.885µm
clknet_1_0__leaf_net473,20.885µm
net318,20.82µm
net936,20.81µm
net548,20.78µm
net734,20.78µm
net785,20.78µm
net816,20.7µm
clknet_0_net235,20.66µm
net941,20.62µm
net641,20.5µm
net726,20.425µm
clknet_0_net231,20.42µm
net205,20.38µm
clknet_0_net758,20.32µm
net30,20.28µm
clknet_1_1__leaf_net601,20.2µm
net872,20.14µm
clknet_1_1__leaf_net594,20.065µm
net422,20.06µm
clknet_1_1__leaf_net187,20.02µm
net195,19.94µm
net495,19.86µm
net752,19.86µm
clknet_0_net817,19.82µm
net89,19.76µm
clknet_1_0__leaf_net451,19.76µm
clknet_0_net601,19.7µm
clknet_0_net246,19.66µm
clknet_1_0__leaf_net200,19.62µm
