net,length_um
net92,46.04µm
net14,45.92µm
net228,45.84µm
net530,45.52µm
net574,45.38µm
net788,45.14µm
net598,45.12µm
net378,45µm
net755,44.96µm
net681,44.8µm
net395,44.78µm
net563,44.74µm
net255,44.72µm
net584,44.58µm
net830,44.46µm
net295,44.405µm
net789,44.38µm
net381,44.2µm
net356,44.195µm
clknet_0_net500,43.8µm
net161,43.515µm
net581,43.48µm
net680,43.42µm
net617,43.32µm
clknet_0_net749,43.22µm
net44,43.19µm
net43,42.98µm
net626,42.93µm
net457,42.64µm
net674,42.58µm
net101,42.52µm
net54,42.48µm
net603,42.335µm
net420,42.24µm
net15,42.04µm
net835,41.985µm
net492,41.945µm
net147,41.94µm
net185,41.92µm
net394,41.63µm
net669,41.56µm
net300,41.5µm
net448,40.84µm
net786,40.44µm
net152,40.32µm
net273,40.26µm
net296,40.24µm
net355,40.24µm
net302,40.12µm
net637,40.05µm
net50,39.98µm
net667,39.94µm
net215,39.88µm
net848,39.86µm
net149,39.79µm
net236,39.72µm
net465,39.68µm
net604,39.58µm
net221,39.48µm
net369,39.1µm
net274,38.97µm
net78,38.9µm
net284,38.75µm
net71,38.58µm
net365,38.4µm
net762,38.34µm
net462,38.3µm
net618,37.52µm
net746,37.48µm
net805,37.01µm
net214,36.97µm
net484,36.84µm
clknet_1_0__leaf_net384,36.71µm
net537,36.66µm
net183,36.645µm
clknet_1_0__leaf_net491,36.62µm
net629,36.6µm
net196,36.34µm
clknet_0_net371,36.26µm
net384,36.18µm
clknet_1_1__leaf_net381,36.14µm
net703,36.1µm
net282,36µm
net32,35.62µm
net208,35.6µm
net591,35.6µm
net392,35.34µm
net230,35.22µm
net801,35.22µm
net234,35.1µm
net837,34.8µm
net721,34.76µm
net73,34.52µm
net115,34.5µm
clknet_1_1__leaf_net384,34.4µm
net224,34.34µm
net337,34.24µm
clknet_0_net373,34.22µm
net174,34.15µm
net198,34.12µm
net8,33.88µm
net160,33.455µm
net518,33.355µm
net242,33.18µm
net413,32.995µm
net52,32.94µm
net59,32.92µm
net727,32.88µm
net700,32.7µm
net357,32.5µm
net595,32.4µm
net60,32.375µm
net251,32.285µm
net305,32.18µm
net534,32.02µm
net27,31.82µm
net430,31.76µm
net120,31.68µm
net750,31.5µm
net438,31.32µm
net128,31.28µm
net468,31.24µm
net134,31.22µm
net526,30.98µm
net153,30.74µm
net689,30.72µm
net580,30.27µm
net461,29.925µm
net84,29.82µm
net315,29.7µm
net303,29.62µm
clknet_0_net384,29.5µm
net443,29.16µm
net358,29.12µm
net670,29.1µm
clknet_1_0__leaf_net371,28.89µm
clknet_1_1__leaf_net377,28.76µm
net761,28.72µm
net596,28.38µm
clknet_0_net374,28.32µm
net496,28.12µm
clknet_1_1__leaf_net371,28.06µm
net264,27.66µm
net515,27.56µm
net572,27.46µm
net478,27.14µm
net248,26.88µm
clknet_0_net385,26.82µm
clknet_0_net491,26.74µm
net325,26.68µm
net548,26.52µm
net102,26.44µm
net330,26.34µm
clknet_1_0__leaf_net750,26.32µm
net309,26.3µm
net716,26.3µm
clknet_0_net389,26.02µm
net555,25.545µm
net354,25.5µm
net137,25.49µm
net53,25.44µm
net9,25.38µm
net304,25.36µm
net463,25.22µm
net272,25.02µm
net33,24.84µm
net621,24.84µm
net163,24.6µm
clknet_0_net269,24.54µm
clknet_0_net486,24.32µm
net639,24.3µm
net491,24.26µm
net513,24.24µm
net66,24.24µm
net799,24.17µm
net775,23.98µm
clknet_0_net651,23.98µm
clknet_1_1__leaf_net749,23.88µm
net240,23.76µm
net256,23.55µm
net517,23.5µm
net159,23.32µm
net333,23.3µm
net360,23.14µm
clknet_0_net513,23.14µm
net361,22.96µm
net175,22.58µm
net625,22.58µm
net77,22.54µm
net97,22.38µm
net850,22.34µm
net640,22.325µm
net263,22.18µm
net319,21.86µm
net479,21.8µm
net342,21.62µm
net767,21.62µm
net650,21.52µm
clknet_0_net650,21.44µm
net110,21.4µm
clknet_0_net377,21.4µm
net654,21.38µm
net475,21.36µm
net610,21.28µm
net436,21.2µm
net696,21.2µm
clknet_0_net270,21µm
net663,20.92µm
net796,20.92µm
net18,20.88µm
net96,20.8µm
net503,20.78µm
net35,20.74µm
clknet_0_net581,20.62µm
net429,20.55µm
clknet_1_1__leaf_net269,20.46µm
clknet_0_net750,20.42µm
net233,20.1µm
net793,20.04µm
net312,19.89µm
net289,19.76µm
net514,19.64µm
net812,19.64µm
net778,19.59µm
clknet_1_1__leaf_net651,19.54µm
net407,19.52µm
net609,19.35µm
net290,19.32µm
net23,19.3µm
clknet_1_1__leaf_net491,19.29µm
net22,19.16µm
net165,19.1µm
net449,19.06µm
clknet_0_net507,18.92µm
net130,18.88µm
net434,18.82µm
net560,18.82µm
net643,18.62µm
net842,18.62µm
net630,18.6µm
net651,18.6µm
net6,18.56µm
clknet_1_1__leaf_net373,18.56µm
clknet_1_1__leaf_net486,18.49µm
net63,18.46µm
net25,18.38µm
net143,18.34µm
net123,18.32µm
net808,18.15µm
net387,17.98µm
net150,17.94µm
clknet_1_1__leaf_net750,17.94µm
net815,17.94µm
net486,17.88µm
net190,17.86µm
net351,17.84µm
net658,17.82µm
net133,17.8µm
net324,17.64µm
net106,17.6µm
net291,17.6µm
net589,17.46µm
net368,17.4µm
net437,17.4µm
clknet_1_0__leaf_net513,17.37µm
net19,17.32µm
net790,17.18µm
net511,16.92µm
net177,16.9µm
net206,16.76µm
net10,16.64µm
net323,16.64µm
net64,16.64µm
net156,16.34µm
net620,16.32µm
net510,16.26µm
net485,16.08µm
net188,16.06µm
net588,15.75µm
net523,15.66µm
net207,15.6µm
net227,15.52µm
net601,15.315µm
net30,15.29µm
net638,15.24µm
net132,15.22µm
net68,15.22µm
net270,15.02µm
clknet_1_0__leaf_net651,15µm
net203,14.98µm
net193,14.86µm
net17,14.56µm
net201,14.52µm
net313,14.46µm
net481,14.34µm
clknet_1_1__leaf_net507,14.34µm
net527,13.96µm
net69,13.84µm
net189,13.76µm
net507,13.76µm
in24,13.66µm
net385,13.66µm
net568,13.65µm
net85,13.64µm
net573,13.595µm
net151,13.56µm
out10,13.18µm
net452,12.96µm
net593,12.96µm
net409,12.89µm
net550,12.88µm
out16,12.86µm
net616,12.745µm
clknet_1_1__leaf_net650,12.69µm
net410,12.66µm
net693,12.66µm
net483,12.58µm
net139,12.54µm
net362,12.5µm
net567,12.38µm
net105,12.36µm
net297,12.16µm
out29,12.065µm
net56,12.04µm
net176,12µm
net275,11.99µm
out3,11.94µm
net814,11.875µm
net389,11.84µm
net624,11.82µm
net219,11.8µm
net327,11.76µm
net531,11.76µm
net828,11.74µm
net622,11.72µm
in18,11.7µm
net664,11.7µm
in44,11.68µm
net556,11.58µm
net597,11.58µm
net822,11.58µm
in13,11.44µm
net456,11.42µm
net540,11.42µm
net269,11.36µm
net576,11.35µm
net619,11.28µm
net397,11.22µm
net628,11.2µm
net450,11.16µm
clknet_1_0__leaf_net374,11.16µm
net846,11.16µm
in38,11.14µm
net374,11.12µm
net414,11.12µm
net532,11.12µm
net820,11.12µm
in49,11.02µm
net231,11µm
net502,10.93µm
net179,10.86µm
net606,10.86µm
clknet_1_0__leaf_net389,10.82µm
net792,10.8µm
net373,10.78µm
clknet_1_1__leaf_net270,10.78µm
net499,10.74µm
net158,10.7µm
net415,10.68µm
clknet_1_1__leaf_net389,10.66µm
net635,10.63µm
net554,10.6µm
net162,10.58µm
net286,10.58µm
out17,10.56µm
out26,10.56µm
net108,10.54µm
net288,10.5µm
net480,10.48µm
net504,10.46µm
net246,10.44µm
out5,10.44µm
net322,10.36µm
clknet_1_0__leaf_net650,10.34µm
net794,10.34µm
net615,10.31µm
net3,10.28µm
net262,10.24µm
net308,10.24µm
net552,10.22µm
net607,10.16µm
net613,10.04µm
clknet_0_net489,9.86µm
net293,9.82µm
net107,9.7µm
net512,9.68µm
in16,9.64µm
in32,9.64µm
in34,9.64µm
in36,9.64µm
in46,9.64µm
in48,9.64µm
in50,9.64µm
out15,9.64µm
out18,9.64µm
out19,9.64µm
out23,9.64µm
out7,9.64µm
net121,9.48µm
net20,9.44µm
net508,9.44µm
net818,9.44µm
in41,9.4µm
net579,9.36µm
net733,9.32µm
net834,9.21µm
net442,9.2µm
out8,9.18µm
net585,9.175µm
net520,9.14µm
net665,9.06µm
out1,9.06µm
out12,9.06µm
net268,9.02µm
net844,9.02µm
net180,8.98µm
net403,8.98µm
net770,8.98µm
net583,8.96µm
out22,8.96µm
out40,8.96µm
net136,8.94µm
net849,8.94µm
net649,8.88µm
net205,8.86µm
net405,8.86µm
net516,8.86µm
in30,8.84µm
net235,8.74µm
in2,8.72µm
in21,8.72µm
in22,8.72µm
in25,8.72µm
