Metric,Value
timing__setup__wns__corner:min_tt_025C_1v80,-8.363003
timing__hold_vio__count__corner:min_tt_025C_1v80,12
timing__hold_r2r__ws__corner:min_tt_025C_1v80,-1.807382
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,8
timing__setup_vio__count__corner:min_tt_025C_1v80,299
timing__setup_r2r__ws__corner:min_tt_025C_1v80,-8.363003
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,271
timing__unannotated_net__count__corner:min_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,90
design__max_fanout_violation__count__corner:min_ss_100C_1v60,136
design__max_cap_violation__count__corner:min_ss_100C_1v60,1
clock__skew__worst_hold__corner:min_ss_100C_1v60,-4.580467
clock__skew__worst_setup__corner:min_ss_100C_1v60,-4.556178
timing__hold__ws__corner:min_ss_100C_1v60,-2.949672
timing__setup__ws__corner:min_ss_100C_1v60,-8.696855
timing__hold__tns__corner:min_ss_100C_1v60,-12.904442
timing__setup__tns__corner:min_ss_100C_1v60,-1125.697754
timing__hold__wns__corner:min_ss_100C_1v60,-2.949672
timing__setup__wns__corner:min_ss_100C_1v60,-8.696855
timing__hold_vio__count__corner:min_ss_100C_1v60,12
timing__hold_r2r__ws__corner:min_ss_100C_1v60,-2.949672
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,6
timing__setup_vio__count__corner:min_ss_100C_1v60,339
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-8.696855
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,294
timing__unannotated_net__count__corner:min_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,136
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-1.657988
clock__skew__worst_setup__corner:min_ff_n40C_1v95,-1.639343
timing__hold__ws__corner:min_ff_n40C_1v95,-1.300694
