net,length_um
net726,85.52µm
net874,85.17µm
net587,85.16µm
net870,84.9µm
net540,83.99µm
clknet_1_0__leaf_net397,83.54µm
net207,83.29µm
net1013,83.02µm
net732,82.92µm
net22,82.78µm
net556,82.7µm
net549,82.485µm
net262,82.325µm
net932,82.2µm
net146,81.87µm
net348,81.86µm
net854,81.8µm
clknet_1_1__leaf_net384,81.605µm
net440,81.42µm
net34,81.29µm
net835,81.2µm
net355,81.18µm
net842,80.38µm
net176,80.34µm
clknet_1_1__leaf_net275,80.23µm
net444,80.2µm
clknet_1_0__leaf_net482,80.14µm
net578,79.7µm
net851,79.28µm
net447,78.84µm
clknet_1_0__leaf_net384,78.64µm
net905,78.5µm
net596,78.465µm
net824,78.41µm
net195,77.92µm
net991,77.78µm
net408,77.065µm
net192,76.75µm
net920,76.635µm
clknet_1_0__leaf_net547,76.52µm
net317,76.28µm
net994,76.23µm
net986,76.06µm
net527,75.89µm
net340,75.62µm
net93,75.47µm
net649,74.82µm
net708,74.2µm
net755,73.635µm
net952,73.48µm
net39,73.33µm
net250,73.3µm
net105,72.94µm
net478,72.9µm
net537,72.53µm
net571,72.01µm
net415,71.92µm
net117,71.71µm
net655,71.495µm
net852,71.35µm
net1075,71.06µm
clknet_1_0__leaf_net847,70.97µm
net453,70.92µm
net27,70.91µm
clknet_1_1__leaf_net318,70.655µm
net562,70.5µm
net1092,70.17µm
net1094,69.92µm
net9,69.655µm
net876,69.57µm
net109,69.385µm
net934,69.32µm
net137,69.2µm
clknet_1_1__leaf_net350,69.1µm
net36,68.82µm
net488,68.72µm
net759,68.54µm
net948,68.54µm
net134,68.49µm
net38,68.41µm
net252,68.24µm
net580,68.12µm
net840,67.82µm
net438,67.8µm
net961,67.76µm
net576,67.58µm
net884,67.53µm
net123,67.04µm
net92,66.86µm
net1070,66.71µm
clknet_1_1__leaf_net397,66.6µm
net965,66.58µm
net520,66.56µm
net339,66.38µm
net830,66.13µm
net239,65.965µm
net190,65.74µm
net699,65.66µm
net921,65.62µm
net163,65.59µm
net712,65.56µm
net786,65.02µm
net55,64.52µm
net899,64.51µm
clknet_1_1__leaf_net155,64.26µm
net981,64.25µm
net251,64.12µm
net980,64.04µm
clknet_1_0__leaf_net318,64.02µm
net1006,63.58µm
net633,63.5µm
clknet_1_0__leaf_net598,63.36µm
net669,62.88µm
clknet_1_0__leaf_net313,62.73µm
net541,62.625µm
net833,62.505µm
net563,62.33µm
net49,61.855µm
clknet_1_0__leaf_net329,61.42µm
net175,61.4µm
net547,61.3µm
net35,61.265µm
net1083,61.05µm
net928,60.88µm
net278,60.76µm
clknet_1_1__leaf_net828,60.53µm
net226,60.27µm
net111,60.22µm
net700,59.98µm
net435,59.97µm
net861,59.9µm
net561,59.835µm
net783,59.74µm
net809,59.74µm
net567,58.74µm
net349,58.54µm
net461,58.5µm
net533,57.6µm
net302,57.57µm
net916,57.52µm
clknet_1_1__leaf_net488,57.505µm
net275,57.26µm
net277,57.25µm
net182,57.225µm
net853,57.09µm
net296,56.9µm
net815,56.84µm
clknet_0_net849,56.82µm
net710,56.46µm
net995,56.36µm
clknet_1_1__leaf_net868,56.22µm
net455,56µm
net0,55.95µm
clknet_1_0__leaf_net345,55.805µm
net714,55.685µm
net828,55.24µm
net785,55.16µm
net720,54.88µm
net303,54.42µm
net313,54.28µm
net389,54.18µm
net68,54.1µm
clknet_1_0__leaf_net428,54.1µm
net367,54.08µm
net805,54µm
net209,53.8µm
net410,53.76µm
clknet_0_net965,53.76µm
net574,53.73µm
net773,53.64µm
clknet_1_0__leaf_net395,53.6µm
net140,53.2µm
net341,53.04µm
net441,52.86µm
clknet_1_1__leaf_net395,52.73µm
net560,52.72µm
net103,52.44µm
clknet_0_net340,52.3µm
net543,52µm
net944,51.77µm
clknet_1_1__leaf_net329,51.64µm
clknet_0_net1000,51.58µm
net144,51.44µm
net936,51.38µm
clknet_1_1__leaf_net847,51.34µm
clknet_1_0__leaf_net762,51.2µm
net1022,51.06µm
net1004,50.86µm
net787,50.76µm
net703,50.4µm
net794,50.36µm
net426,50.35µm
net25,50.31µm
net132,50.12µm
net28,50.12µm
net265,49.96µm
net998,49.82µm
net778,49.8µm
net356,49.64µm
net864,49.47µm
net201,49.29µm
net817,49.22µm
net264,49.12µm
clknet_1_1__leaf_net888,48.98µm
net412,48.86µm
net17,48.73µm
net1008,48.73µm
net818,48.63µm
net336,48.6µm
net454,48.6µm
