net,length_um
net414,73.215µm
net379,73.12µm
net818,72.78µm
net528,72.76µm
net96,72.66µm
clknet_leaf_19_clk,72.51µm
net824,72.07µm
net197,71.93µm
net810,71.84µm
net838,71.8µm
clknet_1_1__leaf_net812,71.8µm
clknet_leaf_1_clk,71.75µm
clknet_leaf_26_clk,71.34µm
net20,70.76µm
net3,70.76µm
net903,70.66µm
net546,70.39µm
clknet_1_0__leaf_net671,70.33µm
net114,70.26µm
net489,70.14µm
net802,69.88µm
net888,69.035µm
net609,68.86µm
net215,68.74µm
clknet_1_0__leaf_net146,68.58µm
net274,68.23µm
net10,68.21µm
net436,67.61µm
net77,67.34µm
net145,66.88µm
net409,66.78µm
clknet_1_0__leaf_net289,66.765µm
clknet_leaf_17_clk,66.6µm
net785,66.45µm
net386,66.4µm
clknet_1_1__leaf_net145,66.355µm
net362,66.34µm
net637,65.72µm
net257,65.6µm
net884,65.365µm
net783,65.26µm
clknet_1_0__leaf_net269,65.2µm
net680,64.78µm
clknet_leaf_10_clk,64.66µm
net147,64.54µm
net836,64.16µm
net278,64.12µm
clknet_1_1__leaf_net670,63.92µm
net159,63.84µm
net453,63.83µm
net679,63.31µm
net845,63.16µm
clknet_1_1__leaf_net236,62.835µm
net573,62.54µm
net63,62.3µm
net648,62.25µm
net963,62.12µm
net699,61.81µm
net806,61.46µm
net426,61.38µm
clknet_leaf_18_clk,61.34µm
net213,60.87µm
net850,60.48µm
net202,60.375µm
clknet_leaf_29_clk,60.32µm
clknet_1_1__leaf_net691,60.31µm
net49,60.24µm
clknet_leaf_14_clk,59.91µm
net158,59.86µm
clknet_leaf_13_clk,59.56µm
net184,59.54µm
net703,59.5µm
net407,59.48µm
net651,58.98µm
net161,58.95µm
net199,58.64µm
net737,58.48µm
clknet_0_net829,58.48µm
net35,58.42µm
net282,58.395µm
net55,57.75µm
net853,57.6µm
net561,57.42µm
net4,57.31µm
clknet_leaf_9_clk,57.26µm
net270,57.21µm
net364,56.92µm
net325,56.4µm
clknet_leaf_12_clk,55.78µm
net862,55.75µm
net245,55.615µm
net476,55.48µm
clknet_1_1__leaf_net261,55.44µm
net529,55.37µm
clknet_1_0__leaf_net228,55.24µm
net146,55.16µm
clknet_0_net379,55.06µm
net567,54.98µm
clknet_1_1__leaf_net823,54.84µm
net817,54.72µm
net834,54.7µm
net112,54.59µm
net337,54.38µm
net697,54.32µm
net139,54.04µm
net259,54.04µm
net796,53.92µm
clknet_0_net794,53.92µm
net969,53.86µm
net924,53.79µm
net291,53.66µm
net672,53.66µm
net307,53.47µm
net195,53.38µm
net554,53.16µm
net560,52.8µm
net28,52.76µm
net432,52.7µm
net47,52.56µm
clknet_0_net238,52.56µm
net792,52.54µm
net157,52.37µm
net503,52.28µm
clknet_1_0__leaf_net240,52.26µm
net687,52.16µm
net771,52.12µm
net306,52.04µm
clknet_leaf_30_clk,52.02µm
clknet_leaf_21_clk,51.78µm
net757,51.7µm
net365,51.38µm
net842,51.34µm
net946,51.04µm
net284,51.02µm
net821,50.98µm
net108,50.7µm
net154,50.24µm
net682,50.22µm
clknet_1_1__leaf_net672,49.92µm
clknet_0_net815,49.76µm
net120,49.7µm
net137,49.58µm
net415,49.51µm
net187,49.33µm
net707,48.96µm
net741,48.86µm
net21,48.76µm
clknet_1_1__leaf_net463,48.76µm
clknet_1_1__leaf_net843,48.74µm
net324,48.7µm
net271,48.51µm
net289,48.28µm
net754,48.17µm
net671,48.04µm
clknet_0_net852,47.94µm
clknet_1_0__leaf_net147,47.84µm
net552,47.62µm
net885,47.58µm
net190,47.435µm
clknet_0_net823,47.26µm
clknet_1_1__leaf_net147,47.16µm
net758,47.14µm
clknet_1_0__leaf_net852,47.14µm
net843,47.02µm
net254,46.755µm
net534,46.53µm
net605,46.53µm
net857,46.4µm
net363,46.315µm
net231,46.28µm
net575,46.22µm
clknet_1_0__leaf_net707,45.98µm
net583,45.54µm
clknet_1_0__leaf_net691,45.53µm
net723,45.42µm
clknet_1_0__leaf_net672,45.4µm
clknet_1_0__leaf_net463,45.36µm
clknet_0_net228,45.32µm
net287,45.22µm
clknet_1_0__leaf_net547,45.14µm
clknet_0_net801,44.7µm
net275,44.27µm
net429,43.92µm
net463,43µm
net787,42.7µm
clknet_1_0__leaf_net835,42.7µm
net954,42.605µm
net352,42.3µm
net276,42.26µm
net917,42.19µm
net81,42.12µm
clknet_0_net818,42.1µm
clknet_1_1__leaf_net547,41.98µm
net819,41.96µm
net899,41.61µm
net355,41.51µm
clknet_1_0__leaf_net250,41.26µm
net236,41.16µm
net446,40.88µm
net327,40.72µm
net871,40.66µm
net749,40.64µm
net691,40.58µm
net330,40.495µm
net174,40.42µm
net19,40.22µm
clknet_leaf_11_clk,40.19µm
net910,40.09µm
net835,39.84µm
net681,39.61µm
net285,39.56µm
clknet_1_0__leaf_net261,39.54µm
net349,39.52µm
clknet_1_1__leaf_net530,39.52µm
clknet_1_1__leaf_net829,39.47µm
net444,39.4µm
net661,39.28µm
net294,39.14µm
net208,39.08µm
clknet_1_1__leaf_net796,39.07µm
net32,39.02µm
net354,38.92µm
net2,38.88µm
net37,38.6µm
net183,38.58µm
net279,38.53µm
net942,38.3µm
net240,38.18µm
net858,38.18µm
net926,38.1µm
net87,37.94µm
net508,37.84µm
clknet_0_net670,37.62µm
clknet_1_0__leaf_net848,37.62µm
net599,37.6µm
net346,37.53µm
net440,37.32µm
net237,37.26µm
net232,37.18µm
net52,37.125µm
net638,36.88µm
net548,36.78µm
net226,36.595µm
net166,36.36µm
clknet_0_net513,36.24µm
net867,36.08µm
net571,35.985µm
clknet_1_0__leaf_net812,35.88µm
net70,35.76µm
net890,35.76µm
clknet_1_1__leaf_net240,35.76µm
net66,35.67µm
clknet_0_net240,35.6µm
net438,35.58µm
net402,35.4µm
net524,35.4µm
net189,35.38µm
clknet_0_net514,35.34µm
clknet_0_net146,35.32µm
net745,34.74µm
net86,34.72µm
net72,34.64µm
net569,34.54µm
net107,34.5µm
net812,34.44µm
clknet_1_1__leaf_net585,34.24µm
net311,33.975µm
clknet_0_net615,33.76µm
clknet_0_net286,33.76µm
net45,33.44µm
net663,33.22µm
net576,33.12µm
clknet_1_1__leaf_net378,33.04µm
clknet_1_0__leaf_net642,32.96µm
net162,32.64µm
clknet_1_0__leaf_net474,32.56µm
clknet_1_1__leaf_net631,32.54µm
net937,32.42µm
clknet_0_net726,32.38µm
clknet_1_0__leaf_net829,32.38µm
net408,32.33µm
clknet_1_0__leaf_net670,32.32µm
net155,32.28µm
net786,32.08µm
net150,32µm
net472,31.9µm
clknet_1_0__leaf_net236,31.74µm
net604,31.45µm
net683,31.38µm
net978,31.21µm
net831,31.14µm
net753,31.04µm
net938,31.02µm
net770,30.86µm
net356,30.83µm
net722,30.8µm
clknet_0_net642,30.8µm
net123,30.66µm
net674,30.66µm
net299,30.65µm
net527,30.36µm
clknet_0_net145,30.1µm
net177,29.88µm
net582,29.78µm
net547,29.72µm
net387,29.67µm
net829,29.48µm
clknet_0_net241,29.44µm
net373,29.4µm
net641,29.33µm
net281,29.12µm
net92,28.94µm
clknet_0_net672,28.9µm
clknet_0_net843,28.8µm
net492,28.79µm
net798,28.64µm
net416,28.56µm
net323,28.54µm
net820,28.38µm
net27,28.205µm
net702,28.14µm
clknet_0_net255,28.06µm
net168,27.86µm
clknet_0_net381,27.82µm
net61,27.6µm
clknet_0_net166,27.56µm
net94,27.53µm
net677,27.52µm
net761,27.48µm
net336,27.36µm
net73,27.32µm
net175,27.3µm
net531,27.24µm
net694,27.2µm
clknet_0_net148,27.2µm
net585,27.1µm
net841,27µm
net620,26.86µm
net12,26.72µm
net650,26.72µm
net773,26.72µm
net390,26.6µm
net106,26.58µm
net124,26.54µm
net906,26.54µm
net532,26.33µm
net350,26.28µm
clknet_0_net156,26.28µm
clknet_1_1__leaf_net235,26.26µm
net495,26.24µm
clknet_0_net170,26.06µm
net945,25.98µm
net309,25.925µm
net846,25.92µm
net269,25.9µm
net600,25.8µm
net347,25.78µm
net610,25.76µm
clknet_0_net812,25.74µm
clknet_1_1__leaf_net513,25.67µm
net319,25.6µm
net814,25.4µm
net645,25.38µm
clknet_0_net619,25.38µm
clknet_0_net261,25.36µm
clknet_0_net796,25.32µm
net537,25.265µm
net180,25.26µm
net612,25.26µm
clknet_0_net439,25.24µm
net204,25.215µm
net192,25.11µm
net392,25.06µm
clknet_1_0__leaf_net378,25.06µm
clknet_1_1__leaf_net170,24.98µm
net421,24.96µm
clknet_0_net147,24.9µm
clknet_1_1__leaf_net489,24.86µm
net442,24.84µm
clknet_1_0__leaf_net439,24.71µm
net397,24.68µm
clknet_0_net149,24.64µm
net116,24.62µm
clknet_0_net476,24.58µm
net378,24.52µm
clknet_0_net479,24.48µm
clknet_0_net491,24.38µm
clknet_0_net260,24.24µm
clknet_0_net610,24.18µm
clknet_1_0__leaf_net160,24.1µm
net851,24.08µm
net262,24.06µm
net514,24.04µm
clknet_0_net547,23.98µm
net587,23.76µm
net250,23.72µm
net631,23.64µm
net59,23.57µm
net538,23.51µm
net664,23.46µm
net248,23.44µm
net115,23.36µm
clknet_0_net643,23.34µm
clknet_0_net289,23.34µm
net111,23.3µm
net595,23.28µm
clknet_1_1__leaf_net166,23.28µm
net491,23.2µm
net558,23.1µm
net709,23.06µm
net643,22.96µm
clknet_0_net489,22.96µm
clknet_0_net834,22.92µm
clknet_0_net671,22.8µm
clknet_0_net249,22.8µm
clknet_0_net597,22.78µm
net602,22.36µm
clknet_0_net250,22.34µm
clknet_0_net164,22.24µm
net900,22.16µm
clknet_0_net835,22.12µm
net727,22.05µm
net916,22µm
net689,21.96µm
clknet_0_net463,21.88µm
clknet_1_1__leaf_net241,21.87µm
net280,21.82µm
clknet_1_0__leaf_net643,21.78µm
net613,21.7µm
net655,21.66µm
clknet_0_net143,21.66µm
net708,21.6µm
net422,21.5µm
clknet_1_0__leaf_net530,21.42µm
net578,21.24µm
net7,21.18µm
net670,20.98µm
net361,20.88µm
clknet_0_net530,20.84µm
net211,20.8µm
clknet_1_1__leaf_net474,20.78µm
net484,20.76µm
net588,20.745µm
clknet_0_net169,20.74µm
clknet_1_0__leaf_net241,20.72µm
clknet_0_net708,20.62µm
net229,20.6µm
net286,20.46µm
net214,20.44µm
net914,20.42µm
net251,20.4µm
clknet_1_1__leaf_net164,20.34µm
net467,20.29µm
net522,20.28µm
clknet_0_net585,20.28µm
clknet_0_net235,20.22µm
net630,20.18µm
net437,20.1µm
net510,20.1µm
net23,20µm
net182,19.985µm
net30,19.96µm
net334,19.9µm
net380,19.9µm
net293,19.865µm
net246,19.82µm
net667,19.82µm
clknet_0_net165,19.8µm
net140,19.76µm
net144,19.72µm
net244,19.7µm
clknet_1_0__leaf_net155,19.62µm
net193,19.56µm
net261,19.44µm
net101,19.28µm
clknet_0_net578,19.25µm
net333,19.16µm
net668,19.08µm
clknet_1_1__leaf_net160,19.08µm
net332,19.06µm
net406,19.02µm
clknet_1_0__leaf_net796,18.99µm
net781,18.98µm
net615,18.78µm
clknet_0_net474,18.78µm
clknet_0_net394,18.72µm
clknet_0_net691,18.7µm
net218,18.665µm
clknet_0_net378,18.66µm
net394,18.6µm
net403,18.585µm
net366,18.52µm
clknet_0_net707,18.48µm
clknet_0_net150,18.44µm
net133,18.32µm
net247,18.32µm
net268,18.32µm
net581,18.18µm
clknet_1_0__leaf_net255,18.16µm
clknet_0_net144,18.1µm
clknet_0_net596,18.08µm
clknet_0_net160,18.04µm
net164,18.02µm
net260,17.94µm
net521,17.94µm
net728,17.94µm
clknet_1_0__leaf_net149,17.94µm
clknet_0_net236,17.9µm
net393,17.8µm
clknet_0_net237,17.78µm
net132,17.66µm
net607,17.56µm
clknet_0_net269,17.52µm
net430,17.475µm
clknet_0_net631,17.46µm
clknet_0_net501,17.44µm
clknet_0_net689,17.36µm
net300,17.3µm
clknet_1_1__leaf_net237,17.3µm
net557,17.11µm
net277,17.1µm
clknet_1_1__leaf_net689,17µm
net624,16.945µm
net357,16.94µm
clknet_1_1__leaf_net615,16.78µm
net103,16.725µm
net720,16.72µm
net876,16.64µm
net102,16.56µm
net156,16.56µm
net653,16.56µm
net592,16.5µm
clknet_1_1__leaf_net155,16.5µm
net122,16.44µm
clknet_0_net848,16.44µm
net105,16.385µm
net493,16.38µm
clknet_1_1__leaf_net165,16.3µm
net519,16.26µm
clknet_0_net592,16.26µm
clknet_0_net586,16.26µm
clknet_0_net162,16.24µm
net64,16.1µm
net423,15.99µm
net95,15.945µm
net110,15.94µm
net424,15.86µm
clknet_0_net503,15.8µm
clknet_0_net690,15.78µm
net919,15.72µm
net977,15.72µm
net608,15.7µm
in36,15.68µm
net685,15.68µm
clknet_1_1__leaf_net394,15.68µm
clknet_1_0__leaf_net514,15.65µm
net83,15.64µm
clknet_1_0__leaf_net260,15.64µm
net335,15.58µm
net457,15.52µm
clknet_0_net577,15.42µm
net173,15.41µm
net517,15.34µm
net6,15.34µm
net625,15.305µm
net377,15.3µm
clknet_1_1__leaf_net148,15.3µm
net925,15.3µm
in26,15.12µm
net418,15.035µm
net194,14.94µm
clknet_1_1__leaf_net834,14.94µm
net540,14.92µm
net714,14.92µm
clknet_1_0__leaf_net610,14.88µm
net200,14.805µm
net427,14.805µm
net44,14.8µm
net675,14.8µm
net705,14.8µm
net51,14.76µm
in49,14.66µm
net500,14.625µm
net632,14.58µm
net563,14.42µm
clknet_1_0__leaf_net513,14.42µm
net710,14.34µm
net57,14.3µm
net24,14.26µm
net290,14.22µm
in29,14.2µm
net344,14.2µm
net253,14.1µm
net626,14.1µm
net295,14.065µm
net772,14.06µm
net109,14.05µm
net313,13.98µm
net5,13.98µm
net179,13.94µm
net167,13.9µm
net589,13.9µm
net283,13.84µm
net908,13.84µm
net235,13.8µm
clknet_1_0__leaf_net631,13.76µm
clknet_1_0__leaf_net235,13.76µm
net633,13.75µm
in50,13.74µm
in59,13.74µm
clknet_1_0__leaf_net491,13.74µm
net329,13.54µm
net544,13.54µm
net729,13.54µm
net662,13.48µm
net530,13.42µm
net649,13.42µm
net374,13.3µm
in17,13.28µm
net474,13.2µm
clknet_leaf_2_clk,13.18µm
net859,13.175µm
in24,13.16µm
net769,13.12µm
net959,13.12µm
in3,13.08µm
net618,13.08µm
clknet_1_1__leaf_net501,13.08µm
clknet_1_1__leaf_net260,13.08µm
net915,13.02µm
clknet_1_1__leaf_net597,13.01µm
out41,12.97µm
net696,12.88µm
clknet_1_1__leaf_net707,12.88µm
net693,12.84µm
net550,12.82µm
net621,12.745µm
net129,12.74µm
out46,12.63µm
net219,12.62µm
clknet_1_0__leaf_net585,12.62µm
net962,12.62µm
net712,12.54µm
in33,12.46µm
net141,12.46µm
clknet_1_0__leaf_net586,12.405µm
net225,12.38µm
net549,12.38µm
in38,12.36µm
in42,12.36µm
net170,12.26µm
clknet_1_0__leaf_net615,12.26µm
clknet_1_1__leaf_net619,12.26µm
net383,12.24µm
net957,12.22µm
net113,12.21µm
clknet_1_0__leaf_net166,12.12µm
net505,12.08µm
net541,12.02µm
net717,12.01µm
clknet_1_1__leaf_net514,12µm
net586,11.96µm
out32,11.94µm
in22,11.9µm
in45,11.9µm
in51,11.9µm
in54,11.9µm
net217,11.74µm
net297,11.74µm
net481,11.72µm
net518,11.72µm
in52,11.7µm
in53,11.7µm
net388,11.7µm
net210,11.68µm
net216,11.68µm
net441,11.635µm
net273,11.605µm
net968,11.6µm
net724,11.58µm
net207,11.56µm
net258,11.56µm
clknet_1_1__leaf_net156,11.56µm
net966,11.54µm
net713,11.51µm
clknet_leaf_5_clk,11.5µm
out60,11.48µm
net920,11.46µm
clknet_1_1__leaf_net143,11.43µm
net223,11.38µm
out59,11.36µm
clknet_leaf_16_clk,11.35µm
net322,11.32µm
net666,11.32µm
clknet_1_0__leaf_net394,11.3µm
net848,11.28µm
clknet_1_0__leaf_net148,11.26µm
net341,11.24µm
net266,11.02µm
clknet_1_0__leaf_net286,10.98µm
net642,10.9µm
net56,10.865µm
net623,10.865µm
net932,10.835µm
clknet_1_1__leaf_net642,10.82µm
net252,10.8µm
in37,10.78µm
in44,10.78µm
net565,10.78µm
net760,10.78µm
net497,10.77µm
net165,10.74µm
net767,10.74µm
net126,10.705µm
net134,10.66µm
net498,10.66µm
net972,10.66µm
net82,10.62µm
net486,10.58µm
clknet_1_0__leaf_net162,10.58µm
out26,10.56µm
clknet_1_0__leaf_net503,10.56µm
net222,10.54µm
clknet_1_1__leaf_net269,10.54µm
net359,10.5µm
net46,10.46µm
out38,10.44µm
clknet_1_1__leaf_net577,10.44µm
clknet_1_1__leaf_net255,10.4µm
net965,10.4µm
net201,10.38µm
in27,10.33µm
in25,10.32µm
in28,10.32µm
in35,10.32µm
in43,10.32µm
in46,10.32µm
net730,10.24µm
net591,10.16µm
net445,10.12µm
net169,10.1µm
net542,10.045µm
net658,10.04µm
clknet_1_1__leaf_net169,10.03µm
in5,9.99µm
net171,9.98µm
net590,9.98µm
net533,9.94µm
net562,9.9µm
clknet_1_1__leaf_net726,9.86µm
net619,9.82µm
net934,9.82µm
in6,9.735µm
clknet_1_0__leaf_net578,9.72µm
net584,9.68µm
net419,9.66µm
net172,9.64µm
out17,9.64µm
out61,9.64µm
net628,9.565µm
net652,9.56µm
in32,9.52µm
in61,9.52µm
clknet_1_0__leaf_net249,9.52µm
clknet_1_0__leaf_net156,9.52µm
net479,9.48µm
net328,9.46µm
in23,9.43µm
in1,9.4µm
in34,9.4µm
in4,9.4µm
in40,9.4µm
in47,9.4µm
in48,9.4µm
in55,9.4µm
in57,9.4µm
in58,9.4µm
in60,9.4µm
clknet_1_0__leaf_net170,9.4µm
net949,9.395µm
in31,9.37µm
net629,9.36µm
net399,9.32µm
clknet_1_1__leaf_net643,9.32µm
net296,9.26µm
net553,9.2µm
net93,9.16µm
clknet_1_1__leaf_net835,9.16µm
out51,9.06µm
out56,9.06µm
net230,9.02µm
clknet_1_1__leaf_net150,9.02µm
clknet_1_1__leaf_net149,8.98µm
net947,8.98µm
out2,8.96µm
net716,8.94µm
clknet_1_1__leaf_net848,8.9µm
in21,8.84µm
in14,8.81µm
out30,8.72µm
out42,8.72µm
out47,8.72µm
out55,8.72µm
out6,8.72µm
clknet_1_0__leaf_net726,8.66µm
net255,8.62µm
net71,8.6µm
net9,8.58µm
net654,8.52µm
net559,8.5µm
out19,8.5µm
out23,8.5µm
out3,8.5µm
out4,8.5µm
out5,8.5µm
net596,8.48µm
clknet_1_0__leaf_net689,8.44µm
net763,8.4µm
in15,8.39µm
in56,8.38µm
net401,8.3µm
net469,8.28µm
clknet_1_1__leaf_net596,8.28µm
net725,8.22µm
net477,8.2µm
clknet_1_0__leaf_net150,8.18µm
net239,8.16µm
in18,8.15µm
clknet_1_0__leaf_net479,8.14µm
net606,8.08µm
net249,8.06µm
net62,8.05µm
out0,8.04µm
net65,8.02µm
clknet_1_1__leaf_net690,8.02µm
net312,7.98µm
net593,7.9µm
net241,7.82µm
net686,7.72µm
in16,7.71µm
net854,7.695µm
net635,7.68µm
net50,7.66µm
in9,7.57µm
net136,7.56µm
net598,7.46µm
net48,7.415µm
net39,7.4µm
in8,7.35µm
net376,7.32µm
net639,7.22µm
net460,7.18µm
net603,7.12µm
net948,7.09µm
net922,7.065µm
net458,7.06µm
in30,7.03µm
net617,7µm
clknet_1_1__leaf_net144,6.98µm
net960,6.98µm
net54,6.96µm
in41,6.91µm
net512,6.9µm
net17,6.89µm
net181,6.88µm
net425,6.86µm
net151,6.82µm
net389,6.78µm
net789,6.72µm
clknet_0_net155,6.7µm
in19,6.67µm
in20,6.67µm
clknet_1_0__leaf_net592,6.64µm
net690,6.6µm
net701,6.6µm
net774,6.6µm
net494,6.5µm
in13,6.43µm
net473,6.42µm
clknet_1_1__leaf_net610,6.4µm
net513,6.38µm
net480,6.36µm
clknet_1_1__leaf_net708,6.35µm
in2,6.33µm
net1,6.32µm
net657,6.3µm
net130,6.26µm
net764,6.26µm
net775,6.26µm
net263,6.18µm
net465,6.18µm
clknet_1_0__leaf_net164,6.18µm
clknet_1_1__leaf_net586,6.14µm
net904,6.11µm
in39,5.97µm
net676,5.95µm
net371,5.94µm
in0,5.92µm
net594,5.92µm
net955,5.88µm
net636,5.84µm
clknet_1_0__leaf_net690,5.84µm
clknet_1_0__leaf_net577,5.84µm
net556,5.825µm
net243,5.82µm
clknet_1_1__leaf_net249,5.8µm
net940,5.8µm
in12,5.77µm
out1,5.75µm
out33,5.75µm
out34,5.75µm
out44,5.75µm
out50,5.75µm
net656,5.68µm
net715,5.68µm
clknet_1_0__leaf_net169,5.68µm
net499,5.62µm
net911,5.6µm
in11,5.58µm
clknet_1_1__leaf_net286,5.56µm
net614,5.48µm
net501,5.46µm
clknet_1_0__leaf_net596,5.46µm
out13,5.41µm
net545,5.38µm
clknet_1_1__leaf_net479,5.38µm
net776,5.34µm
in10,5.31µm
out15,5.29µm
out48,5.29µm
net961,5.28µm
net203,5.26µm
net506,5.22µm
net837,5.22µm
net936,5.22µm
net153,5.14µm
net515,5.1µm
out20,5.07µm
out24,5.07µm
out27,5.07µm
out40,5.07µm
out43,5.07µm
out52,5.07µm
out57,5.07µm
clknet_1_0__leaf_net237,5.045µm
net933,5.04µm
net372,5.02µm
clknet_1_1__leaf_net592,5.02µm
net721,5µm
net953,5µm
net178,4.94µm
net461,4.94µm
net634,4.94µm
net711,4.94µm
