net,length_um
net785,786.96µm
clknet_0_clk,770.85µm
net768,706.22µm
net778,663.48µm
net822,628.875µm
net773,623.38µm
net771,599.02µm
net688,570.735µm
net85,565.445µm
net937,554.775µm
net79,518.495µm
net939,514.585µm
net940,511.96µm
net774,504.3µm
net938,494.03µm
net800,493.92µm
net770,482.655µm
net936,475.04µm
net797,464.98µm
net927,462.185µm
net769,461.665µm
net776,455.94µm
net935,453.505µm
net816,451.805µm
net906,451.665µm
net203,440.505µm
net98,428.58µm
net780,425.535µm
net766,421.37µm
net20,408.78µm
net787,407.335µm
net775,403.79µm
net802,403.22µm
net811,399.475µm
net772,393.18µm
net779,393.015µm
net86,390.38µm
net826,387.995µm
net216,387.3µm
net807,386.32µm
net230,385.95µm
net925,382.285µm
net804,371.95µm
net852,369.47µm
net854,368.8µm
net900,365.08µm
net185,363.835µm
net319,363.16µm
net883,362.645µm
net894,354.81µm
net767,353.36µm
net795,344.33µm
net941,344µm
net110,343.4µm
net839,343.01µm
net783,342.75µm
net830,330.22µm
net301,327.62µm
net19,326.84µm
net777,325.21µm
net813,324.2µm
net692,320.72µm
net922,320.125µm
net204,318.595µm
net851,317.81µm
net208,315.865µm
net81,309.38µm
net84,306.23µm
net345,301.215µm
net864,300.44µm
net934,299.71µm
net134,298.86µm
net305,297.19µm
net782,296.42µm
net82,295.99µm
net207,295.805µm
net853,291.68µm
net17,291.34µm
net696,288.53µm
net21,286.675µm
net803,286.365µm
net124,285.54µm
net681,278.92µm
net825,277.54µm
net125,276.365µm
net34,276.11µm
net793,273.73µm
net296,270.94µm
net97,270.66µm
net792,269.56µm
net408,267.06µm
net68,263.65µm
net95,263.125µm
net100,260.74µm
net91,260.175µm
net69,259.92µm
net675,259.36µm
net781,258.37µm
net868,258.24µm
net833,257.955µm
net142,253.86µm
net92,244.89µm
net923,243.88µm
net916,242.23µm
net262,241.48µm
net808,241.04µm
clknet_4_2_0_clk,240.615µm
net306,240.48µm
net119,237.045µm
net529,236.16µm
clk,235.75µm
net333,235.54µm
net109,233.85µm
net931,233.46µm
net202,232.745µm
net819,232.52µm
net89,231.29µm
net132,230.64µm
clknet_4_9_0_clk,229.15µm
net950,227.75µm
net691,227.155µm
net528,226.085µm
net693,225.4µm
net521,224.475µm
net809,221.4µm
net694,221.26µm
net13,221.02µm
net65,219.68µm
net829,219.185µm
net211,219.06µm
net304,217.545µm
net76,217.32µm
net372,216.295µm
net299,215.505µm
net70,214.84µm
net198,212.225µm
net953,211.1µm
net3,210.06µm
net302,209.61µm
net347,208.34µm
net418,205.62µm
net160,204.865µm
net1019,204.44µm
net248,203.965µm
clknet_4_0_0_clk,202.64µm
net1020,201.18µm
net786,198.835µm
net821,198.24µm
net96,195.26µm
net144,195.23µm
net31,194.435µm
net406,193.98µm
net841,193.25µm
net784,192.75µm
net73,191.9µm
net121,190.52µm
clknet_1_1__leaf_net697,189.27µm
net88,188.65µm
net430,188.2µm
net791,186.825µm
net94,184.85µm
net907,184.78µm
net113,182.72µm
net67,181.26µm
net44,180.74µm
net343,178.68µm
net344,178.015µm
net193,177.39µm
net1018,177.3µm
net872,176.28µm
net336,176.16µm
clknet_4_8_0_clk,175.38µm
net535,174.9µm
net298,173.34µm
net191,172.225µm
net168,172.1µm
clknet_4_1_0_clk,171.84µm
net247,169.245µm
net712,169.13µm
net141,168.86µm
net120,168.75µm
clknet_4_5_0_clk,168.52µm
net405,167.68µm
net837,167.59µm
clknet_4_13_0_clk,167.56µm
net796,166.88µm
net466,166.78µm
net363,166.415µm
net407,165.63µm
net66,165.56µm
net788,165.22µm
net2,161.655µm
net154,161.52µm
net188,160.84µm
net933,160.04µm
clknet_4_12_0_clk,158.66µm
net968,157.58µm
net190,157.02µm
net483,156.5µm
net99,155.78µm
clknet_4_15_0_clk,154.19µm
net261,153.98µm
net926,153.66µm
net258,153.49µm
net932,153.4µm
clknet_1_1__leaf_net873,153.2µm
net442,152.305µm
net799,150.775µm
net668,149.75µm
net806,148.44µm
net146,148.1µm
net162,147.785µm
net189,146.94µm
net106,146.03µm
clknet_1_0__leaf_net873,145.76µm
net810,145.42µm
net334,145.4µm
net439,145.24µm
net71,145.24µm
net465,144.99µm
net456,144.965µm
clknet_4_10_0_clk,144.8µm
net525,144.78µm
net874,144.525µm
net865,143.93µm
net111,143.32µm
net324,142.665µm
net210,142.2µm
net893,142.07µm
net320,141.34µm
net83,140.98µm
net472,139.77µm
net9,139.48µm
net371,139.415µm
net534,139.4µm
clknet_1_0__leaf_net459,139.36µm
net259,138.475µm
clknet_1_0__leaf_net685,138.44µm
net497,137.745µm
net45,137.41µm
net224,136.75µm
net1,135.78µm
net831,134.745µm
net971,134.7µm
net250,134.535µm
net75,134.44µm
net340,133.69µm
net22,133.38µm
clknet_4_3_0_clk,133.12µm
clknet_4_11_0_clk,133.01µm
net116,132.72µm
clknet_1_0__leaf_net697,131.77µm
net108,131.65µm
net1016,131.28µm
net127,130.975µm
net661,130.06µm
clknet_4_7_0_clk,129.24µm
net1021,129µm
net413,128.98µm
net130,128.96µm
net327,128.625µm
net295,128.26µm
net885,128µm
net928,127.495µm
net924,127.485µm
net194,126.45µm
net798,126.35µm
net18,125.33µm
net910,124.77µm
net93,123.82µm
net221,123.8µm
net215,123.69µm
net862,123.085µm
net929,123.04µm
net87,122.68µm
net416,122.46µm
net994,122.43µm
