net,length_um
clknet_0_clk,708.47µm
net671,602.375µm
net209,529.46µm
net79,429.18µm
net734,428.3µm
net672,424.68µm
net740,378µm
net774,371.735µm
net737,356.955µm
net204,349.355µm
net104,343.21µm
net93,340.405µm
net676,315.73µm
net768,314.92µm
net751,304.99µm
net339,303.56µm
net742,299.77µm
net673,292.645µm
net765,292.13µm
net698,288.82µm
net701,288.55µm
net677,287.3µm
net114,271.37µm
net754,270.88µm
net794,268.99µm
net252,268.495µm
net220,266.675µm
net758,260.68µm
net74,259.76µm
net772,256.51µm
net744,255.61µm
clk,252.25µm
net46,251.905µm
net433,248.605µm
net702,247.92µm
clknet_4_10_0_clk,242.42µm
net714,238.48µm
net729,233.725µm
net770,229.245µm
net182,227.36µm
net771,224.64µm
net682,222.04µm
net711,222.02µm
net773,220.56µm
net21,218.86µm
net95,216.78µm
net739,216.75µm
clknet_4_5_0_clk,213.76µm
clknet_4_9_0_clk,212.28µm
net546,206.43µm
net298,199.13µm
net464,195.92µm
clknet_4_12_0_clk,195.64µm
net141,190.125µm
net715,189.96µm
net127,187.45µm
net743,186.64µm
net132,185.55µm
net736,184.83µm
net142,184.3µm
clknet_4_4_0_clk,181.38µm
net763,180.92µm
net118,179.94µm
net267,179.03µm
net501,177.67µm
net112,176.6µm
clknet_4_2_0_clk,175.06µm
net24,174.21µm
net679,173.24µm
net200,172.52µm
net725,171.1µm
net447,170.82µm
net344,168.76µm
net99,168.06µm
net713,165.35µm
net363,161.295µm
net171,159.61µm
net225,159.54µm
net343,154.745µm
net145,152.58µm
net406,151.34µm
net445,150.81µm
clknet_4_14_0_clk,149.9µm
net117,149.46µm
net446,147.78µm
clknet_4_11_0_clk,147.04µm
net86,146.53µm
net570,145.295µm
net326,145.04µm
net488,144.94µm
net458,144.835µm
net116,144.56µm
net431,142.39µm
net439,141.52µm
net539,141.33µm
net444,140.15µm
net265,138.3µm
net1,136.64µm
clknet_4_6_0_clk,136.13µm
net38,134.18µm
net148,133.94µm
net474,133.64µm
clknet_4_8_0_clk,133.3µm
net722,132.1µm
net98,131.1µm
net83,130.28µm
net48,129.805µm
net766,128µm
clknet_4_13_0_clk,127.92µm
net699,126.985µm
net12,126.7µm
net75,125.86µm
net259,125.285µm
net424,125.205µm
clknet_4_15_0_clk,124.46µm
net216,124.14µm
net144,123.8µm
net704,122.98µm
net494,122.41µm
net72,121.55µm
net135,121.275µm
net541,120.575µm
net277,120.04µm
net176,116.75µm
