┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins    ┃ Disconnected ┃ Signal Pins      ┃ Disconnected     ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━┩
│ netlist_0      │ VPWR          │              │ clk              │ out1             │
│ c747           │ c747/VGND     │              │ c747/A0          │ c747/A2          │
│                │ c747/VNB      │              │ c747/A1          │                  │
│                │ c747/VPB      │              │ c747/A3          │                  │
│                │ c747/VPWR     │              │ c747/S0          │                  │
│                │               │              │ c747/S1          │                  │
│                │               │              │ c747/X           │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ c762           │ c762/VGND     │              │ c762/A0          │ c762/A2          │
│                │ c762/VNB      │              │ c762/A1          │                  │
│                │ c762/VPB      │              │ c762/A3          │                  │
│                │ c762/VPWR     │              │ c762/S0          │                  │
│                │               │              │ c762/S1          │                  │
│                │               │              │ c762/X           │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ c86            │ c86/VGND      │              │ c86/A0           │ c86/S0           │
│                │ c86/VNB       │              │ c86/A1           │                  │
│                │ c86/VPB       │              │ c86/A2           │                  │
│                │ c86/VPWR      │              │ c86/A3           │                  │
│                │               │              │ c86/S1           │                  │
│                │               │              │ c86/X            │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge767       │ merge767/VGND │              │ merge767/D       │ merge767/RESET_B │
│                │ merge767/VNB  │              │ merge767/SCD     │                  │
│                │ merge767/VPB  │              │ merge767/SCE     │                  │
│                │ merge767/VPWR │              │ merge767/SET_B   │                  │
│                │               │              │ merge767/Q       │                  │
│                │               │              │ merge767/Q_N     │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge777       │ merge777/VGND │              │ merge777/D       │ merge777/SCD     │
│                │ merge777/VNB  │              │ merge777/DE      │                  │
│                │ merge777/VPB  │              │ merge777/SCE     │                  │
│                │ merge777/VPWR │              │ merge777/Q       │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge778       │ merge778/VGND │              │ merge778/D       │ merge778/SCE     │
│                │ merge778/VNB  │              │ merge778/RESET_B │                  │
│                │ merge778/VPB  │              │ merge778/SCD     │                  │
│                │ merge778/VPWR │              │ merge778/SET_B   │                  │
│                │               │              │ merge778/Q       │                  │
│                │               │              │ merge778/Q_N     │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge779       │ merge779/VGND │              │ merge779/D       │ merge779/SCE     │
│                │ merge779/VNB  │              │ merge779/DE      │                  │
│                │ merge779/VPB  │              │ merge779/SCD     │                  │
│                │ merge779/VPWR │              │ merge779/Q       │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge802       │ merge802/VGND │              │ merge802/D       │ merge802/RESET_B │
│                │ merge802/VNB  │              │ merge802/Q       │                  │
│                │ merge802/VPB  │              │ merge802/Q_N     │                  │
│                │ merge802/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge808       │ merge808/VGND │              │ merge808/D       │ merge808/SET_B   │
│                │ merge808/VNB  │              │ merge808/Q       │                  │
│                │ merge808/VPB  │              │ merge808/Q_N     │                  │
│                │ merge808/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge809       │ merge809/VGND │              │ merge809/D       │ merge809/SET_B   │
│                │ merge809/VNB  │              │ merge809/Q       │                  │
│                │ merge809/VPB  │              │ merge809/Q_N     │                  │
│                │ merge809/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge814       │ merge814/VGND │              │ merge814/D       │ merge814/RESET_B │
│                │ merge814/VNB  │              │ merge814/Q       │                  │
│                │ merge814/VPB  │              │ merge814/Q_N     │                  │
│                │ merge814/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge819       │ merge819/VGND │              │ merge819/D       │ merge819/RESET_B │
│                │ merge819/VNB  │              │ merge819/Q       │                  │
│                │ merge819/VPB  │              │                  │                  │
│                │ merge819/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge826       │ merge826/VGND │              │ merge826/SCE     │ merge826/GATE    │
│                │ merge826/VNB  │              │ merge826/GCLK    │                  │
│                │ merge826/VPB  │              │                  │                  │
│                │ merge826/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge828       │ merge828/VGND │              │ merge828/SCE     │ merge828/GATE    │
│                │ merge828/VNB  │              │ merge828/GCLK    │                  │
│                │ merge828/VPB  │              │                  │                  │
│                │ merge828/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge836       │ merge836/VGND │              │ merge836/D       │ merge836/RESET_B │
│                │ merge836/VNB  │              │ merge836/Q       │                  │
│                │ merge836/VPB  │              │                  │                  │
│                │ merge836/VPWR │              │                  │                  │
└────────────────┴───────────────┴──────────────┴──────────────────┴──────────────────┘
