┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins    ┃ Disconnected ┃ Signal Pins  ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ netlist_1      │ VPWR          │              │ clk          │ out24        │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c587           │ c587/VGND     │              │ c587/D       │ c587/Q_N     │
│                │ c587/VNB      │              │ c587/RESET_B │              │
│                │ c587/VPB      │              │ c587/Q       │              │
│                │ c587/VPWR     │              │              │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c602           │ c602/VGND     │              │ c602/D       │ c602/Q_N     │
│                │ c602/VNB      │              │ c602/RESET_B │              │
│                │ c602/VPB      │              │ c602/SET_B   │              │
│                │ c602/VPWR     │              │ c602/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c603           │ c603/VGND     │              │ c603/D       │ c603/Q_N     │
│                │ c603/VNB      │              │ c603/RESET_B │              │
│                │ c603/VPB      │              │ c603/SET_B   │              │
│                │ c603/VPWR     │              │ c603/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c625           │ c625/VGND     │              │ c625/D       │ c625/Q_N     │
│                │ c625/VNB      │              │ c625/SCD     │              │
│                │ c625/VPB      │              │ c625/SCE     │              │
│                │ c625/VPWR     │              │ c625/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c628           │ c628/VGND     │              │ c628/D       │ c628/Q_N     │
│                │ c628/VNB      │              │ c628/SCD     │              │
│                │ c628/VPB      │              │ c628/SCE     │              │
│                │ c628/VPWR     │              │ c628/SET_B   │              │
│                │               │              │ c628/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c632           │ c632/VGND     │              │ c632/D       │ c632/Q_N     │
│                │ c632/VNB      │              │ c632/SCD     │              │
│                │ c632/VPB      │              │ c632/SCE     │              │
│                │ c632/VPWR     │              │ c632/SET_B   │              │
│                │               │              │ c632/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c662           │ c662/VGND     │              │ c662/X       │ c662/A       │
│                │ c662/VNB      │              │              │              │
│                │ c662/VPB      │              │              │              │
│                │ c662/VPWR     │              │              │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c665           │ c665/VGND     │              │ c665/D       │ c665/Q_N     │
│                │ c665/VNB      │              │ c665/RESET_B │              │
│                │ c665/VPB      │              │ c665/Q       │              │
│                │ c665/VPWR     │              │              │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c694           │ c694/VGND     │              │ c694/D       │ c694/Q_N     │
│                │ c694/VNB      │              │ c694/DE      │              │
│                │ c694/VPB      │              │ c694/Q       │              │
│                │ c694/VPWR     │              │              │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c707           │ c707/VGND     │              │ c707/D       │ c707/Q_N     │
