net,length_um
clknet_0_clk,819.765µm
net1057,786.17µm
net956,685.85µm
net1015,639.615µm
net1067,563.24µm
net1054,524.58µm
net989,464.01µm
net913,450.94µm
net909,444.5µm
net1026,440.7µm
net1039,439.76µm
net811,432.675µm
net922,427.1µm
net1003,412.5µm
net1061,398.39µm
net1014,391.475µm
net918,389µm
net1062,384.98µm
net1063,384.81µm
net26,368.81µm
net911,364.64µm
net1037,362.83µm
net1045,359.31µm
net1049,358µm
net1018,355.35µm
net810,350.48µm
net1013,348.075µm
net1023,344.06µm
net1065,341.485µm
net1025,339.34µm
net1019,337.49µm
net1016,332.97µm
net1032,327.9µm
net962,325.57µm
net1048,323.94µm
net256,320.03µm
net1011,316.26µm
net1047,315.92µm
net141,314.51µm
net1060,305.7µm
net1036,304.235µm
net853,300.52µm
net102,294.39µm
net36,294.12µm
net122,292.48µm
clk,290.46µm
net959,285.44µm
net228,284.42µm
net1038,284.32µm
net1024,283.36µm
clknet_4_10_0_clk,282.09µm
clknet_1_1__leaf_net252,280.945µm
net106,276.88µm
net151,273.09µm
net828,272.79µm
net224,272.26µm
net1033,267.41µm
net1017,265.62µm
net587,265.57µm
net158,264.45µm
net1051,262.365µm
clknet_4_5_0_clk,260.965µm
net109,259.93µm
clknet_4_7_0_clk,259.47µm
net827,255.78µm
net919,248.5µm
net1064,248.185µm
clknet_4_11_0_clk,244.87µm
net1029,243.825µm
net113,242.6µm
clknet_1_1__leaf_net147,240.35µm
clknet_4_6_0_clk,239.22µm
clknet_4_2_0_clk,238.465µm
net1044,237.255µm
net97,236.98µm
net1009,236.375µm
net1,236.275µm
net1007,231.38µm
net121,230.685µm
net86,230.205µm
clknet_1_1__leaf_net290,229.29µm
net1058,229.23µm
net1020,228.73µm
net924,228.48µm
net808,227.42µm
net14,225.75µm
net230,225.265µm
clknet_1_1__leaf_net990,225.23µm
net1002,224.51µm
net797,223.27µm
net342,222.58µm
clknet_4_9_0_clk,221.86µm
net1043,221.15µm
net986,221.135µm
net972,220.9µm
net946,219.73µm
net1028,219.4µm
net844,216.66µm
net809,216.48µm
net759,212.86µm
net1005,212.49µm
clknet_4_8_0_clk,211.85µm
net1059,211.7µm
clknet_1_0__leaf_net252,210.69µm
net15,209.5µm
clknet_1_0__leaf_net290,209.23µm
net831,206.81µm
net791,204.52µm
net387,203.705µm
net1021,203.29µm
net105,202.14µm
clknet_1_1__leaf_net271,202.06µm
net378,201.93µm
net953,200.86µm
net931,200.78µm
net978,200.28µm
net792,199.1µm
clknet_1_1__leaf_net968,198.11µm
net108,197.92µm
clknet_4_1_0_clk,197.76µm
net984,197.43µm
net47,197.4µm
net84,196.32µm
net841,196.03µm
net1022,193.25µm
net738,192.72µm
clknet_4_4_0_clk,192.535µm
